YEAR;MO;DY;QV2M;PRECTOTCORR;T2M;T2MDEW;T2MWET;TS;T2M_RANGE;T2M_MAX;T2M_MIN;PS;WS10M;WS10M_MAX;WS10M_MIN;WS10M_RANGE;WS50M;WS50M_MAX;WS50M_MIN;WS50M_RANGE
1983;1;1;3.97;0.0;22.44;-0.25;11.09;22.67;18.43;32.67;14.24;97.49;4.28;6.73;2.52;4.21;6.54;8.97;4.58;4.39
1983;1;2;3.97;0.0;21.69;-0.04;10.83;21.88;18.62;32.07;13.45;97.56;3.95;6.67;2.51;4.16;5.84;7.84;4.22;3.62
1983;1;3;3.91;0.0;21.23;-0.1;10.57;21.94;18.2;31.3;13.11;97.63;4.3;6.3;2.67;3.63;6.59;8.8;4.86;3.94
1983;1;4;3.42;0.0;20.78;-2.08;9.35;21.67;17.67;30.45;12.78;97.75;4.16;5.28;2.55;2.73;6.37;9.05;4.62;4.44
1983;1;5;3.3;0.0;20.73;-2.36;9.19;21.45;17.16;30.15;12.99;97.81;5.75;8.65;3.49;5.16;8.49;10.48;6.73;3.76
1983;1;6;3.54;0.0;20.12;-1.35;9.39;20.77;15.66;28.75;13.09;97.8;5.59;8.61;3.06;5.55;8.02;10.57;5.88;4.68
1983;1;7;3.78;0.0;20.16;-0.66;9.76;20.69;15.4;28.5;13.1;97.76;4.87;8.41;2.45;5.95;7.06;10.14;4.13;6.02
1983;1;8;3.72;0.0;21.28;-0.87;10.21;22.08;16.97;30.68;13.71;97.67;5.16;8.91;3.21;5.7;7.67;10.95;6.16;4.79
1983;1;9;3.78;0.0;22.38;-0.45;10.97;23.23;16.27;31.33;15.05;97.58;5.13;8.78;2.7;6.09;7.69;10.62;5.08;5.54
1983;1;10;4.33;0.0;22.16;1.12;11.64;22.86;17.55;31.81;14.26;97.55;4.89;7.85;2.6;5.26;6.98;9.27;4.55;4.73
1983;1;11;4.33;0.0;22.25;1.3;11.77;22.89;16.85;31.53;14.68;97.51;5.42;9.1;3.01;6.09;8.05;10.77;5.61;5.16
1983;1;12;3.97;0.0;22.73;0.14;11.44;23.74;17.74;32.23;14.48;97.53;4.37;5.8;2.56;3.23;6.65;9.32;4.49;4.84
1983;1;13;4.33;0.0;22.97;1.44;12.21;23.78;16.95;32.11;15.15;97.54;5.98;8.23;3.69;4.55;8.76;10.32;7.27;3.05
1983;1;14;4.76;0.0;22.44;2.76;12.59;23.21;15.66;30.49;14.83;97.52;5.58;8.59;2.91;5.68;8.07;10.47;5.62;4.85
1983;1;15;4.64;0.0;23.25;2.37;12.81;24.07;15.55;31.89;16.33;97.54;5.41;8.41;3.03;5.38;7.84;10.19;5.84;4.35
1983;1;16;4.03;0.0;23.2;0.33;11.76;24.14;17.48;32.77;15.29;97.53;4.77;7.27;2.86;4.41;6.88;8.72;5.1;3.62
1983;1;17;3.42;0.0;23.98;-2.07;10.95;24.69;18.12;33.9;15.78;97.53;4.48;7.88;2.55;5.33;6.53;9.56;4.26;5.3
1983;1;18;2.93;0.0;23.48;-4.06;9.71;24.3;19.01;33.94;14.94;97.52;4.27;6.03;2.95;3.08;6.41;7.67;5.41;2.27
1983;1;19;3.11;0.0;23.41;-3.56;9.93;23.91;19.26;33.76;14.5;97.48;4.26;6.2;1.61;4.59;6.1;9.02;2.52;6.5
