YEAR;MO;DY;QV2M;PRECTOTCORR;T2M;T2MDEW;T2MWET;TS;T2M_RANGE;T2M_MAX;T2M_MIN;PS;WS10M;WS10M_MAX;WS10M_MIN;WS10M_RANGE;WS50M;WS50M_MAX;WS50M_MIN;WS50M_RANGE
1983;1;1;7.81;0.0;16.24;8.42;12.33;15.4;13.07;23.97;10.9;88.46;3.36;5.42;2.19;3.23;4.7;6.44;3.32;3.12
1983;1;2;7.2;0.0;15.7;7.15;11.43;14.76;14.51;24.15;9.65;88.47;3.04;4.62;2.21;2.41;4.27;5.37;3.34;2.02
1983;1;3;7.63;0.0;15.47;7.88;11.68;14.95;15.18;24.05;8.87;88.49;3.21;4.46;2.45;2.02;4.76;5.81;3.82;2.0
1983;1;4;7.69;0.0;15.2;8.09;11.65;15.01;14.38;23.73;9.35;88.56;3.26;4.2;2.72;1.48;4.93;5.85;3.97;1.88
1983;1;5;6.9;0.0;13.75;6.52;10.14;13.56;11.62;20.73;9.11;88.61;4.24;7.33;2.6;4.73;6.11;8.52;4.55;3.96
1983;1;6;6.77;0.0;12.98;6.28;9.62;12.95;11.9;20.08;8.19;88.57;3.9;6.49;2.48;4.0;5.73;7.61;4.5;3.11
1983;1;7;7.45;0.0;13.84;7.58;10.71;13.76;13.05;21.25;8.19;88.55;3.4;5.74;2.45;3.3;5.12;6.67;3.9;2.77
1983;1;8;7.87;0.0;15.27;8.37;11.83;15.32;13.57;23.26;9.69;88.51;3.64;5.85;2.67;3.19;5.58;6.73;4.94;1.8
1983;1;9;7.93;0.0;15.88;8.44;12.16;15.88;13.8;24.01;10.22;88.45;3.42;5.65;2.26;3.39;5.22;6.76;3.7;3.06
1983;1;10;8.73;0.0;16.55;9.87;13.21;16.44;14.4;24.69;10.3;88.41;3.49;4.75;2.42;2.33;5.33;6.41;3.98;2.42
1983;1;11;8.91;0.0;16.59;10.33;13.46;16.44;14.13;24.65;10.51;88.4;3.83;6.18;2.7;3.48;5.73;7.06;3.49;3.57
1983;1;12;8.42;0.0;16.64;9.46;13.05;16.46;13.47;24.63;11.17;88.41;3.35;4.63;2.26;2.38;5.09;6.41;3.64;2.77
1983;1;13;7.57;0.0;15.28;7.94;11.61;14.89;12.54;22.52;9.99;88.45;4.15;6.93;2.33;4.6;5.88;7.84;3.73;4.11
1983;1;14;7.81;0.0;15.07;8.26;11.66;14.81;11.99;21.82;9.82;88.41;4.14;7.24;2.33;4.91;5.94;8.52;3.6;4.91
1983;1;15;8.67;0.0;16.02;9.88;12.95;16.01;12.42;23.19;10.77;88.44;3.9;6.09;2.43;3.66;5.65;6.98;4.09;2.88
1983;1;16;8.54;0.0;16.43;9.73;13.08;16.34;13.34;24.21;10.87;88.46;3.66;5.3;2.38;2.93;5.26;6.03;3.94;2.09
1983;1;17;8.42;0.0;17.01;9.43;13.22;16.69;12.89;24.58;11.68;88.49;3.5;5.96;2.48;3.48;4.92;6.93;4.3;2.63
1983;1;18;7.93;0.0;17.33;8.54;12.94;16.83;14.45;25.94;11.49;88.46;3.45;5.27;2.55;2.71;4.96;5.89;4.12;1.77
1983;1;19;7.81;0.0;17.89;8.14;13.01;17.19;14.34;26.47;12.12;88.4;2.88;3.77;1.94;1.84;4.2;5.98;3.36;2.62
1983;1;20;8.54;0.0;17.91;9.55;13.73;17.56;14.67;26.41;11.74;88.34;3.16;4.59;2.29;2.3;4.49;5.62;3.19;2.43
1983;1;21;8.42;0.0;18.51;9.46;13.98;17.9;13.26;26.42;13.16;88.47;2.7;4.41;1.66;2.75;3.72;5.48;2.23;3.26
1983;1;22;8.42;0.0;18.31;9.46;13.89;17.83;14.29;26.68;12.39;88.56;2.88;4.09;1.92;2.17;4.13;5.88;2.65;3.23
1983;1;23;7.14;0.0;16.04;7.01;11.52;15.88;12.41;23.37;10.96;88.67;3.73;6.57;2.68;3.89;5.4;7.54;4.51;3.02
1983;1;24;6.77;0.0;15.0;6.11;10.55;14.82;14.2;23.22;9.01;88.62;3.92;6.11;2.43;3.68;5.61;7.63;4.42;3.21
1983;1;25;7.26;0.0;15.97;7.21;11.59;15.98;14.09;23.94;9.85;88.57;3.38;5.23;2.16;3.07;4.79;6.21;3.52;2.69
1983;1;26;8.12;0.0;17.01;8.93;12.97;17.1;13.15;24.49;11.35;88.59;3.08;4.95;2.17;2.77;4.47;6.33;3.41;2.91
1983;1;27;8.18;0.0;17.09;8.95;13.02;17.44;13.03;24.81;11.78;88.53;3.14;5.96;2.24;3.73;4.77;7.17;2.3;4.87
1983;1;28;7.69;0.0;16.55;8.01;12.27;16.8;13.49;24.6;11.11;88.52;3.76;6.78;2.39;4.38;5.7;8.26;3.52;4.73
1983;1;29;8.18;0.0;16.89;8.87;12.87;17.24;14.23;25.3;11.08;88.46;3.16;5.33;2.23;3.1;4.74;6.33;2.8;3.53
1983;1;30;9.03;0.0;19.06;10.34;14.7;18.91;14.91;26.55;11.64;88.43;1.98;4.19;0.47;3.72;2.69;4.54;0.58;3.97
1983;1;31;10.62;0.0;20.21;12.88;16.55;20.7;12.57;27.12;14.55;88.46;1.55;2.33;0.96;1.37;2.18;4.1;0.87;3.23
1983;2;1;9.58;0.0;18.89;11.33;15.11;19.42;13.58;26.58;12.99;88.42;3.06;4.62;2.17;2.45;4.7;6.29;3.52;2.77
1983;2;2;9.58;0.0;19.29;11.25;15.26;19.43;14.05;27.03;12.98;88.34;2.59;3.84;1.39;2.45;3.6;4.34;2.04;2.3
1983;2;3;9.4;0.0;19.51;11.08;15.3;19.44;13.94;27.27;13.33;88.38;2.78;4.54;1.42;3.12;3.86;5.33;2.08;3.26
1983;2;4;10.38;0.0;21.6;12.4;17.0;21.08;13.28;28.6;15.33;88.39;1.98;3.36;1.45;1.91;2.59;3.68;1.92;1.76
1983;2;5;10.74;0.0;21.4;13.14;17.26;21.44;11.8;28.53;16.73;88.36;2.53;3.91;1.52;2.39;3.63;5.98;2.52;3.46
1983;2;6;9.89;0.0;20.84;11.85;16.34;20.67;12.52;28.19;15.68;88.33;2.73;3.8;1.57;2.22;3.85;5.06;2.3;2.76
1983;2;7;9.89;0.0;21.03;11.78;16.4;21.05;12.44;28.29;15.85;88.3;3.01;4.43;1.84;2.59;4.52;6.62;2.7;3.93
1983;2;8;9.16;0.0;20.62;10.72;15.67;19.8;12.73;28.26;15.53;88.28;3.25;5.31;1.88;3.44;4.61;6.05;2.76;3.3
1983;2;9;9.09;0.0;21.55;10.53;16.04;20.13;11.97;28.85;16.88;88.25;3.11;5.95;1.23;4.73;4.19;6.87;1.72;5.16
1983;2;10;8.97;0.0;22.01;10.26;16.14;20.51;12.43;29.39;16.96;88.26;2.71;4.25;1.02;3.23;3.7;5.02;1.43;3.59
1983;2;11;10.01;0.0;21.28;12.05;16.66;20.52;13.96;28.8;14.83;88.31;2.99;4.88;0.8;4.06;4.05;5.54;1.14;4.4
1983;2;12;9.34;0.0;21.87;10.92;16.4;20.4;11.64;28.83;17.19;88.34;2.51;4.37;0.99;3.38;3.3;4.9;1.4;3.51
1983;2;13;11.6;0.0;21.84;14.36;18.1;21.44;12.36;29.03;16.67;88.38;2.72;4.91;1.2;3.7;3.71;5.76;1.69;4.07
1983;2;14;9.28;0.0;22.33;10.83;16.58;21.02;13.19;29.54;16.35;88.33;2.88;5.82;1.15;4.67;3.77;6.76;1.64;5.12
