YEAR;MO;DY;QV2M;PRECTOTCORR;T2M;T2MDEW;T2MWET;TS;T2M_RANGE;T2M_MAX;T2M_MIN;PS;WS10M;WS10M_MAX;WS10M_MIN;WS10M_RANGE;WS50M;WS50M_MAX;WS50M_MIN;WS50M_RANGE
1983;1;1;7.75;0.0;17.19;8.36;12.78;16.71;13.73;25.27;11.55;89.07;3.55;5.23;2.2;3.03;5.61;7.16;4.16;3.0
1983;1;2;7.14;0.0;16.74;7.11;11.92;15.91;14.96;25.23;10.27;89.1;3.16;4.06;2.09;1.98;4.92;6.26;3.61;2.66
1983;1;3;7.26;0.0;16.43;7.3;11.86;15.94;14.91;24.72;9.82;89.14;3.38;4.38;2.41;1.97;5.43;7.07;4.6;2.47
1983;1;4;7.08;0.0;16.1;7.06;11.58;15.85;13.75;24.06;10.31;89.21;3.61;4.99;2.65;2.34;5.72;6.65;5.0;1.65
1983;1;5;6.47;0.0;15.01;5.73;10.37;14.82;12.34;22.36;10.02;89.26;4.31;7.11;2.59;4.52;6.63;8.71;5.02;3.69
1983;1;6;6.41;0.0;14.48;5.43;9.95;14.53;12.66;21.55;8.89;89.23;3.95;6.52;2.06;4.45;6.14;8.17;4.01;4.16
1983;1;7;6.84;0.0;15.03;6.51;10.77;15.04;11.61;21.76;10.15;89.22;3.68;6.29;2.34;3.95;5.79;7.65;4.62;3.04
1983;1;8;7.02;0.0;16.01;6.9;11.46;15.98;12.28;23.59;11.31;89.17;3.8;5.8;2.4;3.41;6.08;7.23;4.67;2.55
1983;1;9;7.02;0.0;16.58;6.8;11.69;16.46;13.37;24.4;11.04;89.1;3.82;6.38;2.39;3.99;6.05;7.97;4.54;3.43
1983;1;10;8.06;0.0;17.4;8.9;13.15;17.03;13.84;25.18;11.34;89.08;3.49;5.46;2.21;3.24;5.55;6.8;4.16;2.65
1983;1;11;8.73;0.0;17.64;10.12;13.88;17.35;13.59;25.34;11.75;89.04;3.73;5.94;2.55;3.39;5.86;7.22;4.59;2.62
1983;1;12;7.69;0.0;17.15;8.28;12.71;16.88;13.12;24.74;11.62;89.06;3.73;5.54;2.48;3.05;5.82;6.72;4.68;2.04
1983;1;13;7.26;0.0;16.46;7.3;11.88;16.23;13.65;24.24;10.59;89.08;4.43;7.19;2.54;4.65;6.91;8.84;4.81;4.04
1983;1;14;7.81;0.0;16.68;8.37;12.52;16.73;12.94;24.16;11.23;89.03;4.07;6.22;2.51;3.71;6.55;8.26;4.84;3.42
1983;1;15;8.42;0.0;17.46;9.62;13.54;17.4;12.49;24.76;12.26;89.07;3.94;6.41;2.41;4.0;6.16;7.87;4.59;3.28
1983;1;16;7.93;0.0;17.43;8.68;13.05;17.28;13.28;25.04;11.76;89.09;4.11;6.8;2.14;4.66;6.43;8.33;4.1;4.22
1983;1;17;7.81;0.0;18.08;8.44;13.26;17.56;13.61;25.73;12.12;89.12;3.59;6.04;2.07;3.97;5.57;7.57;3.83;3.74
1983;1;18;7.2;0.0;18.14;7.26;12.69;17.45;14.95;26.61;11.66;89.1;3.61;5.38;2.3;3.08;5.73;7.13;4.44;2.69
1983;1;19;7.26;0.0;18.28;7.31;12.8;17.66;15.73;27.08;11.34;89.05;3.26;4.14;2.29;1.85;5.24;6.99;3.91;3.08
1983;1;20;7.87;0.0;18.79;8.61;13.69;18.17;13.25;26.85;13.6;88.99;3.68;5.78;2.45;3.32;5.77;6.97;4.62;2.35
1983;1;21;7.63;0.0;18.72;8.05;13.38;17.92;13.55;26.67;13.12;89.12;3.12;5.04;2.19;2.85;4.82;6.3;3.85;2.45
1983;1;22;7.45;0.0;19.03;7.68;13.35;18.3;13.29;26.85;13.56;89.22;3.15;4.59;2.26;2.34;4.97;5.93;4.2;1.73
1983;1;23;6.41;0.0;17.47;5.53;11.5;17.26;13.04;25.35;12.31;89.31;3.74;5.88;2.62;3.24;5.95;7.2;4.34;2.87
1983;1;24;5.98;0.0;16.26;4.33;10.3;16.15;15.66;25.12;9.45;89.26;4.19;6.32;2.57;3.74;6.62;8.25;4.83;3.43
1983;1;25;7.02;0.0;17.23;6.7;11.97;17.1;13.95;25.03;11.08;89.21;3.55;5.76;2.24;3.52;5.62;7.11;4.3;2.8
1983;1;26;7.14;0.0;17.8;7.14;12.48;17.59;12.75;25.06;12.32;89.24;3.39;5.11;2.11;3.0;5.29;6.81;4.11;2.7
1983;1;27;6.9;0.0;17.78;6.57;12.18;17.94;11.85;25.0;13.15;89.2;3.61;5.83;2.44;3.39;5.72;8.03;3.77;4.26
1983;1;28;6.71;0.0;17.34;6.04;11.69;17.44;13.9;25.35;11.44;89.18;3.99;6.86;2.64;4.22;6.35;8.64;4.0;4.63
1983;1;29;6.96;0.0;17.15;6.64;11.9;17.3;12.84;24.67;11.83;89.12;3.66;6.07;2.52;3.55;5.7;7.42;3.7;3.73
1983;1;30;7.69;0.0;18.58;8.09;13.33;18.49;14.23;26.65;12.42;89.09;2.86;4.4;2.2;2.2;4.57;6.19;2.31;3.88
1983;1;31;8.85;0.0;19.58;10.12;14.86;19.94;14.77;28.09;13.32;89.11;2.09;2.68;1.1;1.58;3.53;5.68;1.11;4.58
1983;2;1;7.81;0.0;18.9;8.41;13.65;18.92;13.98;26.86;12.87;89.08;3.59;5.38;2.41;2.98;5.67;6.77;4.62;2.16
1983;2;2;8.0;0.0;19.4;8.74;14.07;19.22;14.06;27.36;13.3;89.0;3.2;4.63;2.25;2.38;5.12;6.68;3.38;3.3
1983;2;3;8.12;0.0;19.86;8.93;14.39;19.39;14.09;27.65;13.57;89.04;3.22;5.12;2.03;3.09;5.11;6.8;3.41;3.39
1983;2;4;9.09;0.0;21.37;10.58;15.98;20.5;12.92;29.02;16.1;89.02;2.67;4.18;2.0;2.18;4.16;6.01;2.59;3.42
1983;2;5;9.4;0.0;21.55;11.26;16.4;21.12;13.7;29.4;15.71;88.99;2.8;3.71;2.14;1.57;4.42;6.98;2.88;4.1
1983;2;6;9.46;0.0;21.45;11.26;16.36;20.9;12.95;29.02;16.07;88.95;2.95;3.9;1.98;1.92;4.59;6.3;3.5;2.8
1983;2;7;9.34;0.0;21.63;11.13;16.38;20.97;12.59;29.07;16.48;88.92;3.12;4.2;2.09;2.12;4.9;7.23;3.61;3.62
1983;2;8;9.22;0.0;21.89;10.9;16.4;21.18;12.8;29.24;16.44;88.91;3.18;5.01;1.71;3.29;4.88;6.55;3.33;3.23
1983;2;9;9.09;0.0;22.26;10.65;16.46;20.79;11.37;29.16;17.8;88.87;3.19;5.78;0.92;4.86;4.59;6.95;1.39;5.57
1983;2;10;8.48;0.0;21.92;9.65;15.79;20.64;15.69;30.08;14.39;88.84;3.12;4.91;1.42;3.48;4.75;6.34;2.13;4.21
1983;2;11;8.3;0.0;21.64;9.33;15.49;20.3;14.85;29.58;14.74;88.9;2.88;4.48;0.89;3.59;4.2;5.32;1.36;3.97
1983;2;12;9.52;0.0;23.01;11.06;17.04;21.48;11.96;30.38;18.42;88.94;1.84;2.82;0.5;2.32;2.77;5.12;0.72;4.41
