YEAR;MO;DY;QV2M;PRECTOTCORR;T2M;T2MDEW;T2MWET;TS;T2M_RANGE;T2M_MAX;T2M_MIN;PS;WS10M;WS10M_MAX;WS10M_MIN;WS10M_RANGE;WS50M;WS50M_MAX;WS50M_MIN;WS50M_RANGE
1983;1;1;3.05;0.0;21.73;-3.48;9.12;22.44;17.1;31.59;14.49;95.72;5.71;8.19;3.23;4.95;8.31;10.2;5.97;4.23
1983;1;2;3.23;0.0;20.94;-2.7;9.12;21.7;17.84;31.04;13.2;95.78;5.33;7.87;3.02;4.84;7.84;9.55;5.64;3.91
1983;1;3;3.3;0.0;20.63;-2.49;9.07;21.63;17.21;30.26;13.05;95.85;5.33;7.36;3.13;4.23;7.71;9.95;5.22;4.73
1983;1;4;2.87;0.0;20.01;-4.36;7.82;21.13;16.94;29.33;12.39;95.96;5.39;6.95;2.98;3.98;7.64;10.16;4.69;5.48
1983;1;5;2.93;0.0;19.65;-4.14;7.76;20.56;16.49;28.76;12.26;96.03;6.91;9.72;4.15;5.57;9.32;11.6;7.04;4.56
1983;1;6;3.17;0.0;19.07;-2.92;8.08;19.93;15.4;27.59;12.19;96.01;6.68;9.79;3.48;6.31;9.05;11.77;6.57;5.21
1983;1;7;3.36;0.0;19.24;-2.31;8.47;20.05;15.38;27.61;12.23;95.96;5.7;9.0;2.73;6.27;7.91;10.62;5.11;5.52
1983;1;8;3.3;0.0;20.57;-2.6;8.98;21.51;16.34;29.6;13.26;95.89;6.07;9.7;3.39;6.3;8.59;11.66;6.48;5.19
1983;1;9;3.42;0.0;21.43;-2.06;9.68;22.48;15.69;30.0;14.31;95.81;5.91;9.37;3.16;6.2;8.38;11.11;5.62;5.49
1983;1;10;3.78;0.0;21.16;-0.7;10.23;22.05;16.95;30.56;13.61;95.78;5.47;8.29;2.92;5.37;7.7;9.77;5.34;4.42
1983;1;11;3.85;0.0;21.3;-0.42;10.44;22.1;15.84;30.2;14.37;95.75;5.99;9.52;3.21;6.3;8.7;11.38;6.16;5.23
1983;1;12;3.6;0.0;21.8;-1.31;10.24;22.92;16.55;30.88;14.33;95.77;5.59;7.74;3.12;4.63;8.01;10.02;5.01;5.02
1983;1;13;4.09;0.0;21.93;0.41;11.17;22.87;16.42;30.86;14.43;95.78;7.18;9.73;4.29;5.44;9.73;11.67;8.1;3.56
1983;1;14;4.46;0.0;21.2;1.56;11.38;22.09;15.29;28.91;13.62;95.75;6.74;9.94;3.47;6.47;9.09;11.89;6.62;5.27
1983;1;15;4.33;0.0;21.98;1.11;11.55;22.94;15.13;30.37;15.24;95.78;6.29;8.96;3.47;5.49;8.48;10.66;6.19;4.47
1983;1;16;3.66;0.0;22.14;-1.17;10.48;23.27;17.2;31.66;14.47;95.75;5.79;8.46;3.15;5.31;8.04;9.96;5.95;4.02
1983;1;17;2.93;0.0;23.01;-4.13;9.44;24.13;17.48;32.92;15.44;95.76;5.55;8.88;2.96;5.91;7.88;10.56;4.8;5.76
1983;1;18;2.38;0.0;22.88;-6.55;8.17;23.93;17.72;32.79;15.08;95.75;5.52;7.84;3.3;4.54;8.12;9.76;5.95;3.81
1983;1;19;2.44;0.0;22.62;-6.35;8.13;23.37;18.19;32.62;14.43;95.71;5.37;6.97;2.78;4.2;7.38;10.41;4.57;5.84
1983;1;20;2.75;0.0;22.44;-4.94;8.75;23.24;18.11;32.58;14.47;95.63;4.98;7.67;2.91;4.77;7.19;9.09;5.12;3.96
1983;1;21;2.75;0.0;22.51;-4.81;8.85;23.44;17.96;32.6;14.65;95.75;4.61;7.59;2.52;5.07;6.77;9.09;3.84;5.25
