YEAR;MO;DY;QV2M;PRECTOTCORR;T2M;T2MDEW;T2MWET;TS;T2M_RANGE;T2M_MAX;T2M_MIN;PS;WS10M;WS10M_MAX;WS10M_MIN;WS10M_RANGE;WS50M;WS50M_MAX;WS50M_MIN;WS50M_RANGE
1983;1;1;3.36;0.0;21.77;-2.46;9.65;22.2;17.49;31.81;14.32;96.99;5.58;7.98;3.3;4.67;8.5;10.16;5.8;4.36
1983;1;2;3.6;0.0;20.94;-1.56;9.69;21.4;18.05;31.13;13.08;97.05;5.38;7.94;2.88;5.05;8.07;10.09;5.23;4.86
1983;1;3;3.54;0.0;20.62;-1.6;9.51;21.35;17.41;30.33;12.93;97.13;5.18;7.05;3.16;3.88;7.88;10.16;5.08;5.09
1983;1;4;3.05;0.0;20.05;-3.6;8.23;20.82;16.97;29.4;12.44;97.25;5.38;7.01;3.03;3.97;7.94;10.25;5.03;5.23
1983;1;5;3.11;0.0;19.91;-3.17;8.37;20.56;16.79;29.29;12.5;97.32;6.6;9.26;4.18;5.08;9.34;11.12;7.02;4.11
1983;1;6;3.42;0.0;19.44;-1.99;8.73;20.11;15.92;28.3;12.37;97.3;6.34;9.34;3.41;5.93;8.94;11.29;6.02;5.27
1983;1;7;3.6;0.0;19.64;-1.37;9.13;20.26;15.72;28.25;12.53;97.25;5.52;8.74;2.59;6.15;8.03;10.52;4.54;5.98
1983;1;8;3.54;0.0;20.76;-1.67;9.55;21.5;16.91;30.08;13.18;97.17;5.73;9.05;3.28;5.77;8.41;10.97;6.3;4.66
1983;1;9;3.72;0.0;21.59;-0.92;10.33;22.44;16.41;30.64;14.23;97.08;5.63;8.54;3.28;5.26;8.32;10.17;5.24;4.93
1983;1;10;4.15;0.0;21.51;0.55;11.02;22.08;17.73;31.19;13.46;97.05;4.9;7.58;2.36;5.22;7.07;9.09;3.98;5.11
1983;1;11;4.09;0.0;21.49;0.51;11.0;22.15;16.34;30.72;14.37;97.02;5.8;8.96;3.23;5.73;8.66;10.78;5.81;4.98
1983;1;12;3.85;0.0;21.94;-0.38;10.79;22.76;17.02;31.16;14.14;97.04;5.57;7.66;3.06;4.59;8.27;10.87;5.09;5.78
1983;1;13;4.33;0.0;22.28;1.19;11.73;23.02;16.74;31.44;14.69;97.04;6.83;9.05;4.38;4.67;9.63;10.95;8.18;2.77
1983;1;14;4.76;0.0;21.67;2.54;12.1;22.37;15.73;29.77;14.04;97.01;6.4;9.51;3.42;6.09;8.95;11.41;6.17;5.23
1983;1;15;4.52;0.0;22.23;1.87;12.05;22.93;15.28;30.76;15.48;97.05;6.04;8.62;3.3;5.32;8.49;10.58;5.41;5.16
1983;1;16;3.91;0.0;22.34;-0.27;11.04;23.24;17.48;32.07;14.58;97.02;5.49;8.24;2.97;5.27;7.98;9.78;5.16;4.62
1983;1;17;3.23;0.0;22.9;-3.15;9.88;23.7;17.93;33.0;15.06;97.03;5.35;8.69;2.8;5.88;7.98;10.46;4.56;5.9
1983;1;18;2.75;0.0;22.8;-5.19;8.8;23.52;18.37;33.07;14.71;97.02;5.47;7.73;3.2;4.53;8.33;10.34;5.48;4.86
1983;1;19;2.87;0.0;22.73;-4.55;9.09;22.9;18.96;32.87;13.9;96.98;4.66;6.8;1.72;5.09;6.7;9.91;2.66;7.24
1983;1;20;3.3;0.0;22.26;-2.81;9.72;22.73;19.68;33.06;13.38;96.9;4.46;6.99;2.39;4.6;6.68;8.8;3.93;4.88
1983;1;21;3.17;0.0;22.38;-3.2;9.58;23.0;19.02;32.83;13.82;97.02;4.38;7.23;2.02;5.2;6.61;8.88;3.04;5.83
1983;1;22;3.11;0.0;22.44;-3.38;9.52;23.34;19.24;32.85;13.61;97.14;4.84;6.86;2.95;3.91;7.47;10.61;4.48;6.12
1983;1;23;2.62;0.0;21.73;-5.17;8.27;22.55;16.59;30.98;14.38;97.3;6.65;9.62;3.61;6.02;9.31;11.39;6.13;5.26
1983;1;24;2.38;0.0;20.7;-6.83;6.94;21.69;17.52;30.44;12.93;97.29;6.08;8.77;3.22;5.55;8.57;10.45;5.17;5.28
1983;1;25;2.62;0.0;21.14;-5.61;7.76;22.19;18.1;31.01;12.9;97.21;5.12;7.98;2.34;5.64;7.42;9.61;3.39;6.22
1983;1;26;2.81;0.0;21.78;-4.56;8.61;22.76;17.32;31.29;13.98;97.24;5.73;8.88;2.87;6.01;8.2;10.55;4.84;5.71
1983;1;27;2.81;0.0;22.08;-4.4;8.84;23.06;16.59;31.11;14.52;97.2;6.59;9.32;3.42;5.9;9.12;11.06;6.02;5.05
1983;1;28;3.17;0.0;22.07;-2.95;9.55;23.24;16.02;30.96;14.94;97.18;6.27;8.99;3.26;5.73;8.65;10.62;5.2;5.42
1983;1;29;2.87;0.0;21.62;-4.35;8.63;22.81;16.23;30.5;14.27;97.13;6.02;9.53;2.98;6.55;8.38;11.33;5.02;6.31
1983;1;30;2.99;0.0;22.06;-3.87;9.1;23.0;14.84;30.48;15.64;97.08;5.52;8.41;2.77;5.65;7.86;10.0;4.43;5.57
1983;1;31;3.3;0.0;23.26;-2.64;10.31;24.62;15.44;31.69;16.26;97.07;4.86;7.27;2.38;4.9;7.01;9.81;2.66;7.16
1983;2;1;3.54;0.0;23.75;-1.67;11.05;25.05;16.56;32.87;16.3;97.0;5.25;8.16;2.99;5.17;7.61;9.59;4.48;5.1
1983;2;2;3.54;0.0;24.3;-1.67;11.32;25.73;16.93;33.67;16.74;96.89;4.79;7.87;2.62;5.24;7.08;9.34;2.98;6.37
1983;2;3;3.72;0.0;25.22;-0.89;12.16;26.39;18.14;35.13;17.0;96.86;4.52;6.76;2.16;4.6;6.77;9.16;3.09;6.07
1983;2;4;3.97;0.0;25.76;-0.11;12.82;26.97;18.64;35.81;17.17;96.83;4.38;6.83;2.24;4.59;6.71;9.42;2.8;6.62
1983;2;5;3.97;0.0;26.35;-0.0;13.17;27.63;17.58;35.96;18.38;96.79;4.55;6.46;2.58;3.88;6.88;9.01;4.22;4.79
1983;2;6;4.15;0.0;26.55;0.73;13.64;27.81;17.0;35.71;18.71;96.76;4.73;8.05;2.59;5.47;7.2;9.54;3.47;6.07
1983;2;7;4.15;0.0;27.31;0.66;13.99;28.62;17.27;36.61;19.34;96.7;5.14;7.28;2.95;4.34;7.68;10.2;4.37;5.83
1983;2;8;4.46;0.0;28.39;1.6;14.99;29.62;17.86;37.91;20.05;96.67;5.54;6.52;3.66;2.85;8.24;10.4;6.52;3.88
1983;2;9;4.27;0.0;28.67;1.19;14.93;30.0;18.04;38.14;20.11;96.62;5.64;6.74;4.08;2.66;8.36;10.76;6.33;4.43
1983;2;10;3.23;0.0;28.48;-2.67;12.9;29.95;18.6;38.45;19.85;96.55;4.64;6.73;2.93;3.8;7.24;9.79;4.51;5.28
1983;2;11;3.23;0.0;28.14;-2.66;12.74;29.14;19.22;38.57;19.34;96.61;4.38;7.88;2.34;5.54;6.45;9.3;3.9;5.41
1983;2;12;5.07;0.0;29.15;3.15;16.15;30.04;18.71;39.1;20.39;96.64;3.17;5.54;0.52;5.01;4.3;6.23;0.89;5.34
1983;2;13;4.33;0.0;28.82;0.9;14.86;29.87;18.83;38.76;19.94;96.7;3.36;4.77;1.05;3.72;4.7;5.83;1.86;3.97
1983;2;14;2.5;0.0;28.36;-6.27;11.05;28.51;21.27;39.29;18.02;96.66;3.49;6.34;1.69;4.66;4.66;7.21;2.55;4.66
1983;2;15;2.32;0.0;28.86;-7.08;10.89;28.17;21.74;39.85;18.11;96.66;3.41;6.94;0.72;6.22;4.43;7.93;1.08;6.86
1983;2;16;2.38;0.0;27.43;-6.71;10.36;27.28;22.19;38.81;16.62;96.75;4.08;7.47;1.23;6.24;5.55;8.62;1.83;6.8
1983;2;17;2.99;0.0;28.14;-3.97;12.08;26.86;18.24;36.8;18.55;96.68;2.76;4.56;0.91;3.65;3.62;5.29;1.33;3.97
1983;2;18;2.87;0.0;28.52;-4.13;12.2;29.1;21.41;39.87;18.46;96.68;4.45;7.16;2.49;4.66;6.39;8.91;3.87;5.05
