YEAR;MO;DY;QV2M;PRECTOTCORR;T2M;T2MDEW;T2MWET;TS;T2M_RANGE;T2M_MAX;T2M_MIN;PS;WS10M;WS10M_MAX;WS10M_MIN;WS10M_RANGE;WS50M;WS50M_MAX;WS50M_MIN;WS50M_RANGE
1983;1;1;8.67;0.0;18.19;10.15;14.17;18.03;14.5;26.73;12.23;90.09;3.71;5.36;2.84;2.52;6.2;7.19;5.28;1.91
1983;1;2;7.93;0.0;17.55;8.88;13.22;17.31;15.94;26.64;10.7;90.12;3.48;4.37;2.95;1.41;5.83;7.47;4.18;3.29
1983;1;3;8.0;0.0;17.4;8.9;13.15;17.29;15.67;26.22;10.55;90.16;3.63;4.72;2.78;1.94;6.23;7.54;4.37;3.17
1983;1;4;7.81;0.0;17.24;8.69;12.97;17.22;14.65;25.78;11.13;90.23;3.88;5.02;3.1;1.91;6.54;7.91;5.3;2.61
1983;1;5;7.14;0.0;16.21;7.26;11.73;16.15;13.06;24.08;11.03;90.28;4.52;7.45;2.7;4.75;7.29;9.19;5.77;3.42
1983;1;6;7.02;0.0;15.68;6.93;11.3;15.8;12.65;23.3;10.66;90.26;4.12;7.06;2.55;4.52;6.7;8.94;4.94;4.0
1983;1;7;7.51;0.0;16.34;8.01;12.17;16.44;13.31;24.06;10.75;90.25;3.91;6.45;2.69;3.77;6.48;7.86;5.12;2.73
1983;1;8;7.69;0.0;17.09;8.34;12.72;17.12;14.27;25.41;11.15;90.18;4.01;6.2;2.67;3.53;6.66;7.7;5.15;2.55
1983;1;9;7.69;0.0;17.61;8.26;12.94;17.58;14.53;26.04;11.51;90.12;3.99;6.77;2.69;4.08;6.66;8.41;4.85;3.56
1983;1;10;8.79;0.0;18.33;10.37;14.35;18.29;14.76;26.68;11.92;90.1;3.74;5.71;2.75;2.96;6.26;7.58;4.73;2.84
1983;1;11;9.58;0.0;18.66;11.65;15.16;18.65;15.41;27.13;11.73;90.05;3.91;5.99;2.71;3.28;6.5;7.34;4.39;2.95
1983;1;12;8.36;0.0;18.14;9.64;13.89;18.08;14.1;26.32;12.23;90.08;4.03;5.68;2.91;2.77;6.69;8.05;5.45;2.59
1983;1;13;7.81;0.0;17.38;8.55;12.97;17.24;14.5;25.75;11.25;90.09;4.62;7.38;2.8;4.58;7.47;9.03;5.93;3.11
1983;1;14;8.48;0.0;17.93;9.77;13.85;17.97;13.49;25.99;12.5;90.04;4.24;6.73;2.74;3.99;6.98;8.29;5.85;2.44
1983;1;15;9.09;0.0;18.48;10.9;14.69;18.53;13.41;26.26;12.86;90.08;4.1;6.7;2.71;3.98;6.71;8.26;5.47;2.79
1983;1;16;8.73;0.0;18.45;10.23;14.34;18.42;13.99;26.55;12.57;90.1;4.26;7.1;2.6;4.5;6.8;8.73;5.34;3.39
1983;1;17;8.61;0.0;18.84;10.06;14.45;18.73;14.61;27.14;12.53;90.13;3.82;6.17;2.68;3.49;6.26;7.61;4.61;2.99
1983;1;18;7.93;0.0;18.87;8.83;13.85;18.61;15.84;28.07;12.23;90.11;3.96;5.48;3.06;2.42;6.73;7.91;4.74;3.16
1983;1;19;7.93;0.0;19.1;8.85;13.98;18.87;16.35;28.3;11.94;90.07;3.43;4.12;2.68;1.45;5.84;7.66;3.69;3.97
1983;1;20;8.61;0.0;19.57;10.04;14.8;19.4;14.8;28.3;13.5;90.0;3.9;5.84;2.94;2.91;6.53;7.36;5.08;2.28
1983;1;21;8.3;0.0;19.33;9.5;14.42;19.12;15.83;28.08;12.25;90.14;3.25;4.79;2.41;2.38;5.33;6.7;3.41;3.28
1983;1;22;8.18;0.0;19.78;9.3;14.54;19.64;15.66;28.37;12.71;90.24;3.38;4.48;2.7;1.78;5.74;6.9;4.39;2.51
1983;1;23;7.02;0.0;18.68;6.99;12.83;18.59;13.88;27.08;13.21;90.32;3.92;6.39;3.05;3.34;6.66;8.02;3.95;4.06
1983;1;24;6.59;0.0;17.5;5.86;11.68;17.36;16.04;26.76;10.72;90.27;4.51;7.14;2.75;4.39;7.32;9.01;5.29;3.73
1983;1;25;7.75;0.0;18.31;8.38;13.34;18.34;14.73;26.6;11.87;90.23;3.76;6.04;2.55;3.49;6.23;7.41;4.43;2.98
1983;1;26;7.81;0.0;18.76;8.68;13.72;18.83;14.13;26.66;12.53;90.25;3.66;5.24;2.95;2.3;6.13;7.54;4.2;3.34
1983;1;27;7.51;0.0;18.97;7.96;13.47;19.15;12.81;26.84;14.03;90.21;3.81;6.49;2.82;3.67;6.38;8.09;3.33;4.76
1983;1;28;7.2;0.0;18.55;7.24;12.9;18.63;13.96;26.85;12.88;90.19;4.25;7.61;2.59;5.02;6.95;9.53;3.52;6.01
1983;1;29;7.57;0.0;18.49;8.11;13.3;18.65;14.09;26.76;12.67;90.14;3.88;6.37;2.74;3.63;6.44;8.17;3.59;4.59
1983;1;30;8.73;0.0;19.79;10.05;14.91;19.94;15.69;28.16;12.48;90.1;2.87;4.55;1.53;3.02;4.88;7.12;1.79;5.33
1983;1;31;9.7;0.0;20.65;11.76;16.21;21.07;15.05;28.84;13.8;90.14;1.92;3.11;0.77;2.34;3.39;5.83;0.88;4.95
1983;2;1;8.54;0.0;19.94;9.93;14.94;20.08;14.78;28.4;13.62;90.09;3.81;5.57;2.8;2.78;6.4;7.83;4.55;3.27
1983;2;2;8.67;0.0;20.21;10.07;15.14;20.28;14.78;28.59;13.81;90.01;3.44;4.87;2.45;2.41;5.86;7.59;3.43;4.16
1983;2;3;8.79;0.0;20.59;10.35;15.47;20.56;14.64;28.85;14.21;90.05;3.56;5.46;2.32;3.14;6.02;7.67;3.29;4.38
1983;2;4;9.89;0.0;21.83;12.05;16.94;21.62;15.23;30.18;14.95;90.04;2.93;4.18;1.77;2.41;4.86;6.49;2.48;4.02
1983;2;5;10.44;0.0;22.42;12.94;17.68;22.56;14.1;30.48;16.39;90.0;2.75;3.64;2.11;1.53;4.68;7.38;2.55;4.83
1983;2;6;10.38;0.0;22.06;12.81;17.44;22.02;14.94;30.38;15.44;89.97;3.17;3.67;2.52;1.16;5.3;7.63;3.54;4.1
1983;2;7;10.31;0.0;22.2;12.76;17.48;22.19;14.88;30.41;15.54;89.93;3.35;4.39;2.53;1.86;5.53;7.91;3.52;4.39
1983;2;8;10.07;0.0;22.46;12.46;17.46;22.37;14.32;30.49;16.16;89.92;3.63;5.2;2.55;2.65;5.97;8.27;4.19;4.08
1983;2;9;9.83;0.0;22.57;12.05;17.31;21.95;13.84;30.62;16.77;89.88;3.71;5.79;2.05;3.74;5.77;7.85;3.12;4.73
1983;2;10;9.03;0.0;22.15;10.78;16.47;21.57;16.48;31.14;14.65;89.85;3.44;4.65;2.55;2.1;5.45;6.73;4.06;2.66
1983;2;11;9.03;0.0;21.97;10.76;16.36;21.37;15.83;30.81;14.98;89.92;2.98;3.84;2.45;1.4;4.63;6.46;2.99;3.47
1983;2;12;10.56;0.0;23.23;12.84;18.04;22.37;13.1;30.76;17.65;89.97;1.78;2.52;0.96;1.55;2.55;3.45;1.56;1.89
1983;2;13;12.33;0.0;23.44;15.54;19.49;23.51;13.19;30.98;17.8;90.01;2.37;3.94;0.35;3.59;3.84;7.77;0.53;7.23
1983;2;14;9.4;0.0;22.71;11.35;17.03;22.3;15.24;31.48;16.24;89.97;2.73;3.48;2.08;1.4;4.27;6.69;2.58;4.12
1983;2;15;8.3;0.0;22.09;9.41;15.75;21.45;17.19;32.12;14.94;89.99;3.34;4.77;2.55;2.23;5.29;6.43;3.26;3.17
1983;2;16;9.28;0.0;21.95;11.11;16.53;21.36;15.81;30.73;14.93;90.07;2.32;2.88;1.73;1.16;3.55;5.1;2.04;3.06
1983;2;17;10.93;0.0;23.0;13.63;18.32;22.83;14.95;30.45;15.51;90.01;1.91;2.48;1.36;1.12;2.88;3.78;1.91;1.88
