YEAR;MO;DY;QV2M;PRECTOTCORR;T2M;T2MDEW;T2MWET;TS;T2M_RANGE;T2M_MAX;T2M_MIN;PS;WS10M;WS10M_MAX;WS10M_MIN;WS10M_RANGE;WS50M;WS50M_MAX;WS50M_MIN;WS50M_RANGE
1983;1;1;8.73;0.0;17.94;10.39;14.16;17.63;13.95;26.26;12.3;90.89;4.41;6.76;3.16;3.59;7.29;8.73;5.89;2.84
1983;1;2;7.93;0.0;17.19;8.95;13.07;16.9;15.77;26.23;10.47;90.91;4.11;5.89;3.19;2.7;6.88;8.96;4.4;4.56
1983;1;3;8.36;0.0;17.43;9.69;13.55;17.26;16.38;26.38;10.0;90.94;4.04;5.5;2.47;3.03;6.59;9.12;4.03;5.1
1983;1;4;8.36;0.0;17.23;9.75;13.48;17.2;15.24;26.01;10.77;91.01;4.36;5.55;3.2;2.36;7.05;9.45;5.12;4.33
1983;1;5;7.39;0.0;15.92;7.87;11.9;15.78;13.16;24.04;10.88;91.07;5.49;8.59;3.45;5.14;8.55;10.36;6.79;3.57
1983;1;6;7.51;0.0;15.6;8.11;11.86;15.61;13.05;23.52;10.48;91.04;5.04;7.6;2.84;4.76;7.77;9.46;4.96;4.5
1983;1;7;8.18;0.0;16.37;9.28;12.83;16.38;14.38;24.62;10.24;91.02;4.51;6.73;2.75;3.97;7.2;9.02;4.57;4.45
1983;1;8;8.42;0.0;17.42;9.77;13.6;17.44;14.5;25.93;11.43;90.97;4.76;6.88;2.95;3.94;7.36;9.03;5.05;3.98
1983;1;9;8.54;0.0;17.91;9.94;13.93;17.96;15.19;26.54;11.35;90.89;4.3;6.67;3.04;3.63;6.94;8.8;3.88;4.91
1983;1;10;9.34;0.0;18.5;11.33;14.92;18.42;15.78;27.21;11.43;90.86;3.94;5.66;2.73;2.94;6.47;8.41;4.83;3.58
1983;1;11;9.77;0.0;18.73;12.05;15.39;18.73;15.88;27.35;11.48;90.83;4.53;6.29;3.02;3.27;7.16;9.2;3.77;5.44
1983;1;12;9.03;0.0;18.57;10.92;14.74;18.55;14.77;27.11;12.34;90.85;4.43;6.33;3.2;3.13;7.09;10.28;4.39;5.89
1983;1;13;8.18;0.0;17.51;9.41;13.47;17.24;14.34;25.98;11.64;90.88;5.32;7.74;3.45;4.29;8.47;9.23;7.2;2.05
1983;1;14;8.61;0.0;17.69;10.11;13.9;17.55;13.85;25.79;11.94;90.83;5.28;8.01;3.28;4.73;8.19;9.76;6.63;3.12
