YEAR;MO;DY;QV2M;PRECTOTCORR;T2M;T2MDEW;T2MWET;TS;T2M_RANGE;T2M_MAX;T2M_MIN;PS;WS10M;WS10M_MAX;WS10M_MIN;WS10M_RANGE;WS50M;WS50M_MAX;WS50M_MIN;WS50M_RANGE
1983;1;1;8.36;0.0;20.01;10.41;15.21;19.63;14.55;27.58;13.03;95.29;2.73;3.19;1.53;1.66;4.06;6.14;2.37;3.77
1983;1;2;7.45;0.0;19.19;8.82;14.01;18.58;14.18;26.57;12.39;95.35;3.06;4.67;1.2;3.46;4.45;6.73;1.78;4.96
1983;1;3;7.57;0.0;19.26;9.04;14.15;18.74;15.91;27.35;11.44;95.4;2.7;3.16;1.91;1.25;4.02;6.14;2.86;3.29
1983;1;4;7.2;0.0;18.53;8.23;13.37;18.08;14.8;25.81;11.01;95.51;2.91;3.92;1.51;2.41;4.2;6.34;2.32;4.02
1983;1;5;7.02;0.0;18.23;7.87;13.05;17.74;14.79;25.71;10.93;95.56;3.35;5.27;1.45;3.83;5.01;7.58;2.16;5.41
1983;1;6;6.59;0.0;16.74;6.93;11.83;16.51;13.35;23.55;10.21;95.57;3.07;4.17;1.34;2.83;4.8;8.31;2.14;6.17
1983;1;7;6.77;0.0;17.76;7.37;12.56;17.31;14.04;24.94;10.9;95.54;3.11;5.13;1.59;3.53;4.57;6.34;2.38;3.97
1983;1;8;7.08;0.0;18.03;7.97;13.0;17.81;14.03;25.66;11.63;95.46;3.23;4.23;2.55;1.68;4.88;5.73;4.16;1.57
1983;1;9;7.45;0.0;19.78;8.62;14.19;19.15;15.78;27.83;12.05;95.36;2.98;5.38;1.04;4.34;4.16;6.3;1.45;4.84
1983;1;10;8.06;0.0;20.05;9.91;14.98;19.34;15.63;27.8;12.15;95.34;2.74;4.26;0.98;3.27;3.8;4.97;1.36;3.61
1983;1;11;8.79;0.0;20.97;11.21;16.08;19.98;12.23;27.98;15.75;95.28;2.76;5.06;0.24;4.81;3.78;5.7;0.33;5.37
1983;1;12;7.87;0.0;19.4;9.56;14.48;19.37;14.98;27.21;12.23;95.31;3.25;4.7;1.95;2.74;4.82;6.15;3.23;2.91
1983;1;13;8.0;0.0;19.95;9.69;14.83;19.65;16.04;28.21;12.17;95.31;3.45;5.14;1.5;3.63;5.28;7.38;2.3;5.09
1983;1;14;8.12;0.0;19.55;9.92;14.73;19.24;13.13;26.2;13.08;95.29;2.66;3.73;0.84;2.9;4.05;6.62;1.2;5.43
1983;1;15;8.79;0.0;20.6;11.21;15.9;20.51;14.18;28.22;14.04;95.31;3.04;4.32;1.94;2.38;4.49;6.3;2.94;3.37
1983;1;16;8.12;0.0;20.62;9.99;15.3;20.33;15.89;28.6;12.72;95.32;3.09;4.87;1.59;3.28;4.56;6.43;2.36;4.07
1983;1;17;7.69;0.0;20.79;9.21;15.0;20.46;14.91;28.62;13.71;95.34;2.96;4.47;1.52;2.95;4.24;5.78;2.41;3.37
1983;1;18;7.32;0.0;20.51;8.54;14.52;20.01;15.12;28.38;13.26;95.32;3.24;4.71;1.76;2.95;4.68;6.95;2.74;4.2
1983;1;19;7.32;0.0;20.77;8.51;14.64;19.99;16.42;28.87;12.44;95.29;2.84;4.42;1.05;3.36;4.12;6.8;1.46;5.34
