YEAR,MO,DY,PRECTOTCORR,TS
1983,1,1,0.0,15.7
1983,1,2,0.0,16.01
1983,1,3,0.0,16.05
1983,1,4,0.0,16.57
1983,1,5,0.0,17.84
1983,1,6,0.0,19.01
1983,1,7,0.0,19.24
1983,1,8,0.0,18.27
1983,1,9,0.0,17.55
1983,1,10,0.0,16.7
1983,1,11,0.0,16.48
1983,1,12,0.0,16.69
1983,1,13,0.0,16.66
1983,1,14,0.0,16.77
1983,1,15,0.0,16.83
1983,1,16,0.0,17.83
1983,1,17,0.0,17.92
1983,1,18,0.0,18.76
1983,1,19,0.01,19.31
1983,1,20,0.01,20.02
1983,1,21,0.02,20.44
1983,1,22,0.24,20.76
1983,1,23,1.41,21.03
1983,1,24,0.89,19.67
1983,1,25,0.25,20.23
1983,1,26,0.51,20.03
1983,1,27,0.01,20.66
1983,1,28,0.05,20.06
1983,1,29,0.23,19.89
1983,1,30,0.06,20.82
1983,1,31,5.03,18.9
1983,2,1,7.64,18.32
1983,2,2,5.29,18.28
1983,2,3,7.13,18.28
1983,2,4,4.5,18.92
1983,2,5,0.91,19.43
1983,2,6,0.28,18.73
1983,2,7,0.05,20.48
1983,2,8,0.14,19.97
1983,2,9,1.29,20.29
1983,2,10,0.11,18.88
1983,2,11,0.01,17.62
1983,2,12,0.0,17.24
1983,2,13,0.0,17.46
1983,2,14,0.02,17.58
1983,2,15,0.12,18.51
1983,2,16,0.98,18.92
1983,2,17,1.17,18.75
1983,2,18,0.32,19.14
1983,2,19,0.39,19.61
1983,2,20,1.97,19.7
1983,2,21,0.36,21.24
1983,2,22,0.01,21.74
1983,2,23,0.0,22.4
1983,2,24,0.0,22.58
1983,2,25,0.0,23.18
1983,2,26,0.0,22.99
1983,2,27,0.0,22.39
1983,2,28,0.0,22.33
1983,3,1,0.0,22.3
1983,3,2,0.0,22.61
1983,3,3,0.04,23.65
1983,3,4,0.79,24.32
1983,3,5,1.16,24.4
1983,3,6,2.4,24.16
1983,3,7,0.64,24.17
1983,3,8,0.05,24.19
1983,3,9,0.35,24.3
1983,3,10,0.51,24.14
1983,3,11,0.67,22.36
1983,3,12,1.36,21.27
1983,3,13,3.59,20.79
1983,3,14,3.63,20.07
1983,3,15,3.71,21.6
1983,3,16,4.15,21.79
1983,3,17,1.52,20.2
1983,3,18,0.38,21.92
1983,3,19,0.25,22.95
1983,3,20,0.02,23.89
1983,3,21,0.11,23.73
1983,3,22,2.6,22.15
1983,3,23,9.36,21.86
1983,3,24,14.88,21.12
1983,3,25,11.79,21.64
1983,3,26,5.13,21.36
1983,3,27,0.4,21.35
1983,3,28,0.54,22.95
1983,3,29,0.41,22.61
1983,3,30,1.93,22.93
1983,3,31,1.1,22.39
1983,4,1,0.85,22.37
1983,4,2,0.84,23.34
1983,4,3,1.67,23.46
1983,4,4,2.28,22.79
1983,4,5,0.38,23.85
1983,4,6,3.49,23.01
1983,4,7,1.19,21.77
1983,4,8,0.63,22.64
1983,4,9,3.08,23.81
1983,4,10,3.03,23.28
