YEAR,MO,DY,PRECTOTCORR,TS
1983,1,1,0.0,17.7
1983,1,2,0.01,18.46
1983,1,3,0.3,20.06
1983,1,4,0.04,20.27
1983,1,5,1.45,19.23
1983,1,6,0.06,18.75
1983,1,7,0.0,17.88
1983,1,8,0.0,17.67
1983,1,9,0.0,18.73
1983,1,10,0.0,18.07
1983,1,11,0.0,17.35
1983,1,12,0.0,17.66
1983,1,13,0.0,18.32
1983,1,14,0.0,18.84
1983,1,15,0.0,17.93
1983,1,16,0.0,17.91
1983,1,17,0.0,18.25
1983,1,18,0.0,19.62
1983,1,19,0.0,21.24
1983,1,20,0.0,20.4
1983,1,21,0.06,20.59
1983,1,22,0.04,21.4
1983,1,23,0.01,22.94
1983,1,24,0.0,22.88
1983,1,25,0.33,21.43
1983,1,26,0.04,22.16
1983,1,27,0.22,21.27
1983,1,28,0.04,22.83
1983,1,29,0.0,23.6
1983,1,30,0.05,23.07
1983,1,31,5.84,21.37
1983,2,1,11.36,17.97
1983,2,2,9.08,18.83
1983,2,3,3.49,21.09
1983,2,4,0.11,20.59
1983,2,5,0.16,22.15
1983,2,6,0.14,21.6
1983,2,7,0.02,22.18
1983,2,8,1.33,22.94
1983,2,9,0.89,23.59
1983,2,10,0.44,22.59
1983,2,11,2.09,20.94
1983,2,12,7.71,20.3
1983,2,13,3.07,20.93
1983,2,14,1.25,20.69
1983,2,15,1.13,21.13
1983,2,16,0.09,20.39
1983,2,17,0.0,23.2
1983,2,18,0.02,23.89
1983,2,19,0.02,23.88
1983,2,20,0.59,23.37
1983,2,21,2.41,22.88
1983,2,22,0.77,22.04
1983,2,23,0.0,21.36
1983,2,24,0.0,21.33
1983,2,25,0.0,21.56
1983,2,26,0.0,22.29
1983,2,27,0.0,22.9
1983,2,28,0.97,22.5
1983,3,1,0.36,22.59
1983,3,2,0.0,24.17
1983,3,3,0.0,24.57
1983,3,4,0.0,24.17
1983,3,5,0.0,24.36
1983,3,6,0.0,25.64
1983,3,7,0.28,24.76
1983,3,8,0.37,24.49
1983,3,9,1.17,23.92
1983,3,10,1.19,24.51
1983,3,11,0.0,25.14
1983,3,12,0.0,25.1
1983,3,13,0.19,25.13
1983,3,14,0.04,25.35
1983,3,15,0.0,25.42
1983,3,16,0.13,25.97
1983,3,17,3.86,23.73
1983,3,18,0.91,23.51
1983,3,19,0.01,25.14
1983,3,20,0.0,24.46
1983,3,21,0.0,24.9
1983,3,22,1.25,25.25
1983,3,23,7.75,25.63
1983,3,24,18.06,23.28
1983,3,25,4.28,23.8
1983,3,26,4.84,23.62
1983,3,27,0.15,24.17
1983,3,28,59.43,23.58
1983,3,29,15.12,22.88
1983,3,30,2.35,22.52
1983,3,31,19.05,22.56
1983,4,1,4.82,22.23
1983,4,2,6.68,22.78
1983,4,3,1.42,21.13
1983,4,4,3.8,21.82
1983,4,5,4.2,22.41
1983,4,6,1.84,22.06
1983,4,7,2.46,22.12
1983,4,8,1.89,22.65
1983,4,9,8.11,22.63
