YEAR,MO,DY,PRECTOTCORR,TS
1983,1,1,0.0,17.5
1983,1,2,0.0,17.92
1983,1,3,0.01,18.45
1983,1,4,0.03,20.03
1983,1,5,2.38,20.68
1983,1,6,0.7,21.16
1983,1,7,0.0,22.0
1983,1,8,0.0,19.56
1983,1,9,0.0,18.36
1983,1,10,0.0,19.09
1983,1,11,0.0,19.96
1983,1,12,0.0,20.26
1983,1,13,0.0,19.68
1983,1,14,0.0,19.51
1983,1,15,0.0,18.96
1983,1,16,0.0,20.18
1983,1,17,0.0,20.15
1983,1,18,0.0,20.69
1983,1,19,0.04,21.17
1983,1,20,0.32,22.93
1983,1,21,1.41,23.48
1983,1,22,0.92,23.86
1983,1,23,1.74,24.44
1983,1,24,8.85,22.61
1983,1,25,0.06,23.65
1983,1,26,0.14,23.77
1983,1,27,0.01,24.0
1983,1,28,0.24,23.02
1983,1,29,0.07,22.85
1983,1,30,0.57,22.98
1983,1,31,6.66,23.1
1983,2,1,5.79,21.55
1983,2,2,2.39,20.71
1983,2,3,0.27,22.81
1983,2,4,0.04,23.79
1983,2,5,0.1,23.08
1983,2,6,0.02,24.07
1983,2,7,0.0,24.09
1983,2,8,0.34,23.98
1983,2,9,12.78,24.65
1983,2,10,5.03,22.76
1983,2,11,3.24,20.2
1983,2,12,2.2,21.27
1983,2,13,1.7,20.66
1983,2,14,6.78,21.75
1983,2,15,15.79,19.45
1983,2,16,4.34,21.08
1983,2,17,0.23,21.3
1983,2,18,0.73,22.45
1983,2,19,0.64,22.86
1983,2,20,0.05,23.99
1983,2,21,2.23,24.09
1983,2,22,0.18,24.02
1983,2,23,0.01,24.21
1983,2,24,0.0,24.25
1983,2,25,0.0,23.49
1983,2,26,0.0,22.71
1983,2,27,0.0,23.65
1983,2,28,0.0,24.44
1983,3,1,0.0,25.06
1983,3,2,0.02,25.1
1983,3,3,0.01,25.33
1983,3,4,0.0,25.69
1983,3,5,0.33,25.8
1983,3,6,0.63,26.18
1983,3,7,0.03,26.81
1983,3,8,0.01,25.63
1983,3,9,3.64,25.25
1983,3,10,4.11,26.67
1983,3,11,0.18,26.26
1983,3,12,0.0,25.96
1983,3,13,0.76,26.36
1983,3,14,2.61,26.46
1983,3,15,2.56,26.13
1983,3,16,6.06,25.41
1983,3,17,11.08,24.14
1983,3,18,1.61,25.06
1983,3,19,0.03,24.66
1983,3,20,0.0,23.84
1983,3,21,0.0,24.32
1983,3,22,9.69,24.94
1983,3,23,18.12,24.1
1983,3,24,10.51,23.64
1983,3,25,6.74,23.89
1983,3,26,0.2,23.67
1983,3,27,0.0,24.3
1983,3,28,0.01,24.83
1983,3,29,2.0,25.2
1983,3,30,26.59,24.18
1983,3,31,17.19,21.32
1983,4,1,3.47,21.94
1983,4,2,1.61,23.67
1983,4,3,1.83,23.3
1983,4,4,11.18,20.63
1983,4,5,26.45,21.63
1983,4,6,5.44,20.72
1983,4,7,17.27,20.88
1983,4,8,3.6,21.07
1983,4,9,1.95,21.36
1983,4,10,1.01,22.42
1983,4,11,2.11,22.86
1983,4,12,3.4,22.04
1983,4,13,0.2,23.68
1983,4,14,3.98,23.88
1983,4,15,4.78,24.01
1983,4,16,6.54,23.93
1983,4,17,18.08,19.65
1983,4,18,11.51,22.15
1983,4,19,1.1,23.08
1983,4,20,9.15,22.06
1983,4,21,17.6,22.44
1983,4,22,38.67,19.39
1983,4,23,22.27,19.29
1983,4,24,23.1,19.75
1983,4,25,11.74,18.9
1983,4,26,12.31,19.0
1983,4,27,5.07,20.54
1983,4,28,13.55,19.97
1983,4,29,1.96,20.93
1983,4,30,0.02,21.16
1983,5,1,0.04,20.63
1983,5,2,0.54,20.97
1983,5,3,1.01,22.0
1983,5,4,2.89,20.79
1983,5,5,5.17,19.43
1983,5,6,1.34,21.33
1983,5,7,6.03,22.18
1983,5,8,3.77,21.94
1983,5,9,3.9,20.98
1983,5,10,8.21,21.37
1983,5,11,7.09,20.61
1983,5,12,4.53,20.79
1983,5,13,3.02,21.6
1983,5,14,19.21,20.48
1983,5,15,35.0,19.22
1983,5,16,14.76,20.35
1983,5,17,14.12,20.57
1983,5,18,21.0,19.77
1983,5,19,19.06,20.12
1983,5,20,4.14,20.3
1983,5,21,4.58,18.49
1983,5,22,3.95,20.26
1983,5,23,11.92,19.88
1983,5,24,41.22,18.56
1983,5,25,57.34,19.42
1983,5,26,1.88,18.49
1983,5,27,3.89,19.97
1983,5,28,5.69,18.15
1983,5,29,4.85,18.72
1983,5,30,3.62,19.07
1983,5,31,0.36,19.69
1983,6,1,0.65,20.09
1983,6,2,2.24,20.49
1983,6,3,3.79,20.5
1983,6,4,3.05,20.54
1983,6,5,2.15,20.8
1983,6,6,4.1,19.37
1983,6,7,8.2,19.27
1983,6,8,2.33,20.38
1983,6,9,5.65,20.33
1983,6,10,5.43,20.71
1983,6,11,2.03,19.19
1983,6,12,2.02,19.59
1983,6,13,2.68,20.06
1983,6,14,1.06,20.2
1983,6,15,2.04,19.92
1983,6,16,5.21,19.46
1983,6,17,7.35,18.4
1983,6,18,5.13,17.6
1983,6,19,8.66,18.61
1983,6,20,5.09,19.07
1983,6,21,4.97,19.15
1983,6,22,2.16,18.45
1983,6,23,5.64,18.84
1983,6,24,7.24,19.13
1983,6,25,4.45,18.84
1983,6,26,1.63,18.75
1983,6,27,1.06,17.46
1983,6,28,2.99,18.4
1983,6,29,3.04,16.54
1983,6,30,12.74,17.84
1983,7,1,3.75,18.32
1983,7,2,0.43,19.44
1983,7,3,3.65,19.39
1983,7,4,2.6,18.83
1983,7,5,1.16,19.16
1983,7,6,3.3,19.43
1983,7,7,7.92,18.58
1983,7,8,4.7,18.23
1983,7,9,1.22,18.76
1983,7,10,5.98,19.65
1983,7,11,6.11,19.09
1983,7,12,6.0,18.83
1983,7,13,6.26,18.44
1983,7,14,7.41,16.5
1983,7,15,14.93,17.97
1983,7,16,17.69,17.28
1983,7,17,20.83,17.85
1983,7,18,17.63,18.33
1983,7,19,35.12,16.58
1983,7,20,7.62,18.17
1983,7,21,4.15,17.81
1983,7,22,6.1,17.81
1983,7,23,4.03,17.68
1983,7,24,4.53,18.22
1983,7,25,5.04,18.09
1983,7,26,4.32,17.88
1983,7,27,3.1,18.01
1983,7,28,5.53,18.42
1983,7,29,1.91,17.54
1983,7,30,1.92,17.38
1983,7,31,15.24,18.21
1983,8,1,7.26,18.17
1983,8,2,1.22,18.58
1983,8,3,1.6,18.52
1983,8,4,3.38,18.18
1983,8,5,5.61,18.08
1983,8,6,14.97,18.7
1983,8,7,35.21,18.77
1983,8,8,22.2,19.13
1983,8,9,4.26,17.44
