YEAR,MO,DY,PRECTOTCORR,TS
1983,1,1,0.0,22.8
1983,1,2,0.0,23.87
1983,1,3,0.0,25.77
1983,1,4,0.04,24.13
1983,1,5,0.0,25.52
1983,1,6,0.0,24.57
1983,1,7,0.0,23.18
1983,1,8,0.0,22.06
1983,1,9,0.0,22.02
1983,1,10,0.0,23.15
1983,1,11,0.0,23.13
1983,1,12,0.0,22.61
1983,1,13,0.0,22.68
1983,1,14,0.0,23.58
1983,1,15,0.0,23.65
1983,1,16,0.0,23.27
1983,1,17,0.0,23.25
1983,1,18,0.0,24.11
1983,1,19,0.0,25.95
1983,1,20,0.0,26.44
1983,1,21,0.0,26.52
1983,1,22,0.0,25.62
1983,1,23,0.0,26.64
1983,1,24,0.0,26.76
1983,1,25,0.0,26.82
1983,1,26,0.0,27.62
1983,1,27,0.0,27.77
1983,1,28,0.0,26.77
1983,1,29,0.0,27.18
1983,1,30,0.0,28.72
1983,1,31,0.52,28.28
1983,2,1,4.49,28.32
1983,2,2,3.49,25.79
1983,2,3,0.52,25.23
1983,2,4,0.16,26.06
1983,2,5,0.0,25.5
1983,2,6,0.0,25.3
1983,2,7,0.0,26.46
1983,2,8,0.0,27.31
1983,2,9,0.03,28.53
1983,2,10,0.01,28.24
1983,2,11,0.12,28.13
1983,2,12,0.05,29.05
1983,2,13,1.44,29.27
1983,2,14,1.04,28.13
1983,2,15,0.31,28.34
1983,2,16,0.0,27.69
1983,2,17,0.0,28.35
1983,2,18,0.0,28.5
1983,2,19,0.0,29.1
1983,2,20,0.0,28.99
1983,2,21,0.0,29.47
1983,2,22,0.0,27.73
1983,2,23,0.0,27.39
1983,2,24,0.0,26.15
1983,2,25,0.0,25.78
1983,2,26,0.0,26.82
1983,2,27,0.0,27.78
1983,2,28,0.0,28.29
1983,3,1,0.0,28.47
1983,3,2,0.0,28.3
1983,3,3,0.0,27.4
1983,3,4,0.0,27.16
1983,3,5,0.0,28.01
1983,3,6,0.0,29.11
1983,3,7,0.0,28.54
1983,3,8,0.0,28.76
1983,3,9,0.0,29.41
1983,3,10,0.0,29.04
1983,3,11,0.0,27.92
1983,3,12,0.0,28.58
1983,3,13,0.0,28.61
1983,3,14,0.0,28.15
1983,3,15,0.0,28.12
1983,3,16,0.0,28.38
1983,3,17,0.0,28.51
1983,3,18,0.0,28.71
1983,3,19,0.0,28.44
1983,3,20,0.0,27.93
1983,3,21,0.0,28.04
1983,3,22,0.0,28.14
1983,3,23,0.0,28.95
1983,3,24,0.0,29.0
1983,3,25,0.0,29.33
1983,3,26,0.0,28.55
1983,3,27,0.26,28.26
1983,3,28,0.6,28.09
1983,3,29,0.0,28.78
1983,3,30,0.0,29.47
1983,3,31,0.0,30.1
1983,4,1,0.22,30.83
1983,4,2,0.66,30.78
1983,4,3,0.16,31.0
1983,4,4,0.63,30.35
1983,4,5,0.94,30.48
1983,4,6,0.04,30.67
1983,4,7,0.0,31.17
1983,4,8,0.01,30.91
1983,4,9,1.37,30.96
1983,4,10,10.35,28.12
1983,4,11,0.02,29.0
1983,4,12,0.8,29.56
1983,4,13,0.0,31.38
1983,4,14,0.49,30.78
1983,4,15,0.57,30.81
1983,4,16,3.26,30.53
1983,4,17,9.23,28.69
1983,4,18,1.36,28.85
1983,4,19,5.12,27.85
1983,4,20,6.07,27.78
1983,4,21,11.94,26.4
1983,4,22,4.46,26.19
1983,4,23,2.33,26.82
1983,4,24,8.41,26.45
1983,4,25,32.86,25.05
1983,4,26,2.19,24.64
1983,4,27,10.33,25.85
1983,4,28,0.57,27.09
1983,4,29,0.01,25.87
1983,4,30,0.0,25.6
1983,5,1,0.0,27.07
1983,5,2,0.27,27.22
1983,5,3,3.79,26.71
1983,5,4,6.57,26.44
1983,5,5,2.8,26.09
1983,5,6,4.07,25.94
1983,5,7,0.79,26.64
1983,5,8,0.09,26.88
1983,5,9,3.54,26.69
1983,5,10,0.1,27.34
1983,5,11,1.62,28.01
1983,5,12,3.49,26.89
1983,5,13,1.15,26.6
1983,5,14,5.21,26.16
1983,5,15,2.46,26.33
1983,5,16,0.24,27.1
1983,5,17,0.54,26.88
1983,5,18,0.4,26.78
1983,5,19,0.28,27.42
1983,5,20,0.05,26.91
1983,5,21,2.45,26.62
1983,5,22,2.32,26.92
1983,5,23,12.66,25.23
1983,5,24,28.88,23.84
1983,5,25,50.22,22.82
1983,5,26,20.22,23.33
1983,5,27,9.04,22.33
1983,5,28,0.89,22.85
1983,5,29,3.12,22.99
1983,5,30,4.39,22.54
1983,5,31,0.01,23.38
1983,6,1,0.0,24.37
1983,6,2,0.0,24.24
1983,6,3,0.0,24.13
1983,6,4,0.0,23.78
1983,6,5,0.0,23.99
1983,6,6,0.0,23.51
1983,6,7,0.0,23.77
1983,6,8,0.0,23.88
1983,6,9,0.0,24.16
1983,6,10,0.15,24.44
1983,6,11,0.1,24.56
1983,6,12,0.18,23.9
1983,6,13,0.05,24.71
1983,6,14,0.06,24.45
1983,6,15,0.02,23.95
1983,6,16,0.12,24.07
1983,6,17,0.09,23.46
1983,6,18,0.01,23.05
1983,6,19,0.01,24.23
1983,6,20,0.39,24.17
1983,6,21,0.7,23.6
1983,6,22,0.05,23.72
1983,6,23,0.31,24.0
1983,6,24,0.07,25.5
1983,6,25,0.01,25.04
1983,6,26,0.01,25.15
1983,6,27,0.01,24.0
1983,6,28,0.0,24.71
1983,6,29,0.27,25.16
1983,6,30,0.32,24.99
1983,7,1,0.36,25.08
1983,7,2,0.13,24.18
1983,7,3,0.33,24.0
1983,7,4,0.32,24.27
1983,7,5,0.09,24.0
1983,7,6,0.39,24.97
1983,7,7,0.31,25.01
1983,7,8,0.31,25.06
1983,7,9,0.65,25.32
1983,7,10,0.04,25.52
1983,7,11,0.03,24.86
1983,7,12,0.19,25.0
1983,7,13,0.14,24.32
1983,7,14,0.16,24.78
1983,7,15,0.0,24.54
1983,7,16,0.24,24.47
1983,7,17,0.1,24.75
1983,7,18,0.55,24.83
1983,7,19,1.27,24.15
1983,7,20,0.0,24.0
1983,7,21,0.01,24.27
1983,7,22,0.24,24.23
1983,7,23,0.33,24.6
1983,7,24,0.4,23.8
1983,7,25,0.03,25.07
1983,7,26,0.02,25.51
1983,7,27,0.01,25.47
1983,7,28,0.01,24.33
1983,7,29,0.01,25.04
1983,7,30,0.21,24.52
1983,7,31,0.79,24.18
1983,8,1,0.36,24.53
1983,8,2,0.0,25.31
1983,8,3,0.0,25.4
1983,8,4,0.0,25.43
1983,8,5,0.0,25.29
1983,8,6,0.02,25.86
1983,8,7,0.02,26.55
1983,8,8,0.11,26.55
1983,8,9,0.1,27.67
1983,8,10,0.71,26.56
1983,8,11,0.52,23.64
1983,8,12,1.49,21.96
1983,8,13,0.67,23.95
1983,8,14,0.09,23.51
1983,8,15,0.08,25.35
1983,8,16,0.2,25.73
1983,8,17,0.18,25.37
1983,8,18,0.05,25.8
1983,8,19,0.8,25.83
1983,8,20,2.47,25.78
1983,8,21,0.9,25.41
1983,8,22,0.31,25.27
1983,8,23,1.34,26.14
1983,8,24,0.09,25.4
1983,8,25,0.94,23.45
1983,8,26,0.97,25.14
1983,8,27,0.07,24.5
1983,8,28,0.03,25.13
1983,8,29,0.0,26.18
1983,8,30,0.02,27.54
1983,8,31,0.09,27.38
1983,9,1,0.09,26.6
1983,9,2,0.0,26.62
1983,9,3,0.23,25.98
1983,9,4,0.19,25.24
1983,9,5,0.02,26.46
1983,9,6,0.27,26.46
1983,9,7,0.06,27.94
1983,9,8,0.47,27.63
1983,9,9,5.41,25.86
1983,9,10,0.66,25.9
1983,9,11,0.02,26.58
1983,9,12,0.31,26.9
1983,9,13,0.04,27.78
1983,9,14,0.16,28.35
1983,9,15,0.09,28.17
1983,9,16,0.24,28.27
1983,9,17,0.6,28.76
1983,9,18,14.59,25.79
1983,9,19,12.7,24.45
1983,9,20,7.13,25.14
1983,9,21,0.34,25.91
1983,9,22,0.25,27.02
1983,9,23,0.0,27.61
1983,9,24,0.0,28.05
1983,9,25,0.0,27.64
1983,9,26,0.0,27.82
1983,9,27,0.0,26.0
1983,9,28,0.26,26.44
1983,9,29,2.86,26.49
1983,9,30,2.57,26.78
1983,10,1,0.83,27.01
1983,10,2,3.26,26.42
1983,10,3,0.16,27.86
1983,10,4,0.05,27.78
1983,10,5,0.09,25.54
1983,10,6,0.2,27.4
1983,10,7,0.34,26.8
1983,10,8,0.11,26.57
1983,10,9,0.19,27.54
1983,10,10,0.68,28.4
1983,10,11,0.31,27.6
1983,10,12,0.53,27.48
1983,10,13,6.51,26.07
1983,10,14,6.88,25.13
1983,10,15,3.67,25.29
1983,10,16,2.08,25.24
1983,10,17,1.39,26.43
1983,10,18,0.29,26.2
1983,10,19,0.72,25.5
1983,10,20,13.17,24.59
1983,10,21,9.65,24.06
1983,10,22,0.0,24.17
1983,10,23,0.03,25.11
1983,10,24,0.15,25.6
1983,10,25,0.06,26.26
1983,10,26,0.07,26.64
1983,10,27,0.43,25.63
1983,10,28,0.0,24.6
1983,10,29,0.0,22.3
1983,10,30,0.0,22.4
1983,10,31,0.0,23.15
1983,11,1,0.0,23.35
1983,11,2,0.01,25.18
1983,11,3,0.25,25.8
1983,11,4,0.42,26.54
1983,11,5,0.17,26.72
1983,11,6,0.36,25.63
1983,11,7,1.76,25.19
