YEAR,MO,DY,PRECTOTCORR,TS
1983,1,1,0.0,21.26
1983,1,2,0.0,21.41
1983,1,3,0.01,21.54
1983,1,4,0.02,22.4
1983,1,5,0.04,23.24
1983,1,6,0.01,23.25
1983,1,7,0.0,23.82
1983,1,8,0.0,23.98
1983,1,9,0.0,22.99
1983,1,10,0.0,21.58
1983,1,11,0.0,20.96
1983,1,12,0.0,21.7
1983,1,13,0.0,22.38
1983,1,14,0.0,22.41
1983,1,15,0.0,22.67
1983,1,16,0.0,22.23
1983,1,17,0.0,23.13
1983,1,18,0.01,23.3
1983,1,19,0.2,22.93
1983,1,20,0.04,22.83
1983,1,21,0.02,23.63
1983,1,22,0.03,24.67
1983,1,23,0.26,23.96
1983,1,24,0.16,22.75
1983,1,25,0.08,23.03
1983,1,26,0.0,23.18
1983,1,27,0.0,23.67
1983,1,28,0.0,23.32
1983,1,29,0.0,23.08
1983,1,30,0.0,22.09
1983,1,31,6.92,21.24
1983,2,1,1.87,22.36
1983,2,2,1.7,22.7
1983,2,3,3.85,21.79
1983,2,4,2.2,22.93
1983,2,5,0.02,23.82
1983,2,6,0.0,24.18
1983,2,7,0.0,24.82
1983,2,8,0.0,25.4
1983,2,9,0.0,24.95
1983,2,10,0.0,22.48
1983,2,11,0.0,20.84
1983,2,12,0.0,20.7
1983,2,13,0.0,21.28
1983,2,14,0.0,22.3
1983,2,15,0.0,23.28
1983,2,16,0.0,23.87
1983,2,17,0.0,23.61
1983,2,18,0.0,23.87
1983,2,19,0.0,24.09
1983,2,20,0.09,24.36
1983,2,21,0.28,26.57
1983,2,22,0.09,27.55
1983,2,23,0.01,27.63
1983,2,24,0.06,27.7
1983,2,25,0.01,27.89
1983,2,26,0.0,27.9
1983,2,27,0.0,25.38
1983,2,28,0.0,25.05
1983,3,1,0.0,26.76
1983,3,2,0.0,27.39
1983,3,3,0.0,28.36
1983,3,4,0.0,28.2
1983,3,5,0.0,26.87
1983,3,6,0.0,25.96
1983,3,7,0.0,26.31
1983,3,8,0.0,27.44
1983,3,9,0.0,27.72
1983,3,10,0.0,28.9
1983,3,11,0.0,28.55
1983,3,12,0.44,25.06
1983,3,13,0.43,26.67
1983,3,14,0.23,26.89
1983,3,15,0.1,26.94
1983,3,16,0.1,26.88
1983,3,17,0.0,26.37
1983,3,18,0.01,27.53
1983,3,19,0.03,28.61
1983,3,20,0.06,28.66
1983,3,21,0.02,29.29
1983,3,22,0.28,29.67
1983,3,23,0.2,28.72
1983,3,24,0.71,28.34
1983,3,25,1.51,27.3
1983,3,26,0.67,26.76
1983,3,27,0.11,27.39
1983,3,28,0.08,28.53
1983,3,29,0.0,29.12
1983,3,30,0.0,29.49
1983,3,31,0.0,29.22
1983,4,1,0.0,30.24
1983,4,2,0.0,31.04
1983,4,3,0.0,30.26
1983,4,4,0.0,29.69
1983,4,5,0.0,28.67
1983,4,6,0.03,28.24
1983,4,7,0.0,27.9
1983,4,8,0.01,28.89
1983,4,9,0.08,30.53
1983,4,10,0.1,31.46
1983,4,11,0.07,30.19
1983,4,12,0.12,28.68
1983,4,13,0.13,26.33
1983,4,14,0.02,30.21
1983,4,15,0.03,30.9
1983,4,16,0.76,30.84
1983,4,17,0.17,30.43
1983,4,18,0.23,30.7
1983,4,19,0.48,31.81
1983,4,20,0.48,30.75
1983,4,21,2.8,29.14
1983,4,22,2.34,27.55
1983,4,23,0.0,25.09
1983,4,24,0.0,25.92
1983,4,25,0.03,27.45
1983,4,26,0.13,29.92
1983,4,27,0.01,30.71
1983,4,28,0.05,29.78
1983,4,29,0.0,29.38
1983,4,30,0.76,30.36
1983,5,1,20.68,30.28
1983,5,2,9.25,26.52
1983,5,3,4.29,27.57
1983,5,4,3.52,25.68
1983,5,5,3.96,24.18
1983,5,6,0.56,26.03
1983,5,7,4.67,26.91
1983,5,8,2.36,25.66
1983,5,9,0.12,27.81
1983,5,10,1.83,28.62
1983,5,11,4.17,26.33
1983,5,12,5.69,27.4
1983,5,13,12.52,24.16
1983,5,14,5.44,27.43
1983,5,15,3.94,26.91
1983,5,16,2.94,27.51
1983,5,17,0.02,27.72
1983,5,18,0.78,26.34
1983,5,19,1.73,28.52
1983,5,20,6.64,27.45
1983,5,21,0.62,28.2
1983,5,22,0.68,28.63
1983,5,23,0.38,28.9
1983,5,24,0.11,29.65
1983,5,25,0.01,29.1
1983,5,26,0.0,30.47
1983,5,27,0.24,29.61
1983,5,28,0.74,30.84
1983,5,29,0.07,28.15
1983,5,30,0.41,29.61
1983,5,31,0.35,27.42
1983,6,1,0.51,27.71
1983,6,2,0.09,29.57
1983,6,3,0.02,30.38
1983,6,4,0.08,28.98
1983,6,5,5.47,28.2
1983,6,6,6.55,27.74
1983,6,7,0.57,26.87
1983,6,8,3.35,28.36
1983,6,9,0.75,29.15
1983,6,10,0.0,29.69
1983,6,11,0.01,31.02
1983,6,12,0.01,30.37
1983,6,13,0.03,29.28
1983,6,14,0.0,29.59
1983,6,15,0.0,30.23
1983,6,16,1.38,29.7
1983,6,17,1.66,26.77
1983,6,18,0.74,26.48
1983,6,19,0.73,27.39
1983,6,20,0.51,27.97
1983,6,21,0.61,26.98
1983,6,22,0.53,27.86
1983,6,23,0.57,26.4
1983,6,24,0.34,28.66
1983,6,25,2.81,28.37
1983,6,26,3.32,27.16
1983,6,27,3.31,27.33
1983,6,28,3.55,26.66
1983,6,29,1.91,26.71
1983,6,30,2.54,26.12
1983,7,1,0.68,26.19
1983,7,2,0.51,27.12
1983,7,3,1.59,27.37
1983,7,4,1.53,25.92
1983,7,5,1.59,26.23
1983,7,6,2.76,26.93
1983,7,7,4.4,26.15
1983,7,8,2.25,24.51
1983,7,9,3.22,25.02
1983,7,10,0.19,26.34
1983,7,11,0.61,26.97
1983,7,12,0.54,27.1
1983,7,13,0.92,26.97
1983,7,14,1.03,25.84
1983,7,15,0.15,25.52
1983,7,16,0.28,24.98
1983,7,17,0.22,23.63
1983,7,18,0.21,24.51
1983,7,19,0.04,25.52
1983,7,20,3.16,25.5
1983,7,21,5.12,25.37
1983,7,22,3.51,26.03
1983,7,23,10.37,23.75
1983,7,24,22.47,22.24
1983,7,25,3.1,24.26
1983,7,26,2.75,24.93
1983,7,27,1.15,24.77
1983,7,28,1.59,25.16
1983,7,29,1.42,24.75
1983,7,30,18.1,24.0
1983,7,31,20.68,23.91
1983,8,1,10.43,24.02
1983,8,2,16.92,23.78
1983,8,3,8.09,23.07
1983,8,4,1.1,25.03
1983,8,5,4.55,24.59
1983,8,6,17.39,23.01
1983,8,7,14.38,22.64
1983,8,8,10.33,22.83
1983,8,9,0.9,23.26
1983,8,10,0.39,22.09
1983,8,11,1.42,21.8
1983,8,12,0.31,21.83
1983,8,13,2.22,22.72
1983,8,14,10.66,23.19
1983,8,15,9.04,23.09
1983,8,16,10.2,22.15
1983,8,17,15.44,21.85
1983,8,18,3.73,22.34
1983,8,19,3.59,21.83
1983,8,20,2.73,22.57
1983,8,21,2.75,23.11
1983,8,22,13.27,23.52
1983,8,23,15.64,22.59
1983,8,24,7.83,22.58
1983,8,25,2.04,22.75
1983,8,26,1.46,23.13
1983,8,27,3.3,23.22
1983,8,28,1.85,23.05
1983,8,29,8.86,23.25
1983,8,30,8.7,23.02
1983,8,31,5.7,23.32
1983,9,1,11.05,23.32
1983,9,2,5.58,23.49
1983,9,3,0.78,23.66
1983,9,4,0.03,24.08
1983,9,5,0.08,24.49
1983,9,6,0.08,24.4
1983,9,7,0.05,24.39
1983,9,8,8.7,23.73
1983,9,9,20.07,22.29
1983,9,10,12.02,21.96
1983,9,11,10.38,22.69
1983,9,12,21.07,22.81
1983,9,13,1.39,23.35
1983,9,14,0.9,23.76
1983,9,15,0.12,23.66
1983,9,16,1.14,24.43
1983,9,17,1.21,23.95
1983,9,18,1.47,23.13
1983,9,19,6.35,23.3
1983,9,20,3.47,23.27
1983,9,21,1.67,22.8
1983,9,22,1.14,23.61
1983,9,23,0.23,24.02
1983,9,24,0.0,24.15
1983,9,25,0.0,23.83
1983,9,26,0.0,24.07
1983,9,27,0.0,24.33
1983,9,28,0.01,24.54
1983,9,29,0.0,24.89
1983,9,30,0.0,24.53
1983,10,1,0.0,25.61
1983,10,2,0.0,26.19
1983,10,3,0.0,25.34
1983,10,4,0.0,25.36
1983,10,5,0.02,25.41
1983,10,6,0.0,24.86
1983,10,7,0.0,25.61
1983,10,8,0.01,25.66
1983,10,9,0.0,25.49
1983,10,10,0.0,25.42
1983,10,11,0.0,25.18
1983,10,12,0.0,25.46
1983,10,13,1.17,25.88
1983,10,14,1.44,25.78
1983,10,15,1.2,25.91
1983,10,16,0.4,24.19
1983,10,17,0.26,25.41
1983,10,18,5.54,24.89
1983,10,19,6.19,24.85
1983,10,20,1.47,24.83
1983,10,21,0.06,24.86
1983,10,22,0.01,24.76
1983,10,23,0.0,23.66
1983,10,24,0.0,23.6
1983,10,25,0.0,23.19
1983,10,26,0.0,23.76
1983,10,27,0.0,24.75
1983,10,28,0.01,25.47
1983,10,29,0.0,24.52
1983,10,30,0.0,23.91
1983,10,31,0.0,23.09
1983,11,1,0.0,22.37
1983,11,2,0.0,22.35
1983,11,3,0.0,22.95
1983,11,4,0.0,24.08
1983,11,5,0.0,25.2
1983,11,6,0.0,25.38
1983,11,7,1.3,25.21
1983,11,8,1.63,25.37
1983,11,9,0.32,25.31
1983,11,10,0.3,24.63
1983,11,11,3.06,23.71
1983,11,12,1.17,23.3
1983,11,13,1.43,24.23
1983,11,14,0.9,25.13
1983,11,15,0.73,25.08
1983,11,16,0.08,24.45
1983,11,17,0.23,24.87
1983,11,18,0.15,25.05
1983,11,19,2.24,25.41
1983,11,20,0.13,24.84
1983,11,21,0.0,24.31
1983,11,22,0.0,23.7
1983,11,23,0.0,22.65
1983,11,24,0.0,22.09
1983,11,25,0.0,22.14
1983,11,26,0.0,22.5
1983,11,27,0.0,23.11
1983,11,28,0.0,23.96
1983,11,29,0.0,24.77
1983,11,30,0.0,24.45
1983,12,1,0.0,23.6
1983,12,2,0.0,23.84
1983,12,3,0.0,23.75
1983,12,4,0.0,22.92
1983,12,5,0.0,23.96
1983,12,6,0.0,23.78
1983,12,7,0.0,22.67
1983,12,8,0.0,23.05
1983,12,9,0.0,23.21
1983,12,10,0.0,23.22
1983,12,11,0.0,23.09
1983,12,12,0.0,22.36
1983,12,13,0.0,21.74
1983,12,14,0.0,21.64
1983,12,15,0.0,21.2
1983,12,16,0.0,21.62
1983,12,17,0.0,21.07
1983,12,18,0.0,21.48
1983,12,19,0.0,21.59
1983,12,20,0.0,21.7
1983,12,21,0.0,21.73
1983,12,22,0.0,22.11
1983,12,23,0.0,22.3
1983,12,24,0.0,22.84
1983,12,25,0.0,22.42
1983,12,26,0.0,21.47
1983,12,27,0.0,21.41
1983,12,28,0.0,21.71
1983,12,29,0.0,22.48
1983,12,30,0.0,22.99
1983,12,31,0.0,23.22
1984,1,1,0.0,22.93
1984,1,2,0.0,23.23
1984,1,3,0.0,22.68
1984,1,4,0.0,22.63
1984,1,5,0.0,22.93
1984,1,6,0.0,21.98
1984,1,7,0.0,22.32
1984,1,8,0.0,22.26
1984,1,9,0.0,22.55
1984,1,10,0.0,22.81
1984,1,11,0.0,22.64
1984,1,12,0.0,23.09
1984,1,13,0.0,23.52
1984,1,14,0.0,23.69
1984,1,15,0.0,22.68
1984,1,16,0.0,22.92
1984,1,17,0.0,23.08
1984,1,18,0.0,23.15
1984,1,19,0.0,23.37
1984,1,20,0.0,23.8
1984,1,21,0.03,23.94
1984,1,22,0.08,23.58
1984,1,23,0.02,23.34
1984,1,24,0.15,23.57
1984,1,25,0.01,23.66
1984,1,26,0.0,25.14
1984,1,27,0.0,25.9
1984,1,28,0.0,24.92
1984,1,29,0.0,24.12
1984,1,30,0.0,23.86
1984,1,31,0.01,23.95
1984,2,1,0.0,24.73
1984,2,2,0.0,24.73
1984,2,3,0.0,25.54
1984,2,4,0.0,25.75
1984,2,5,0.0,25.05
1984,2,6,0.0,24.77
1984,2,7,0.0,24.68
1984,2,8,0.0,25.26
1984,2,9,0.0,25.71
1984,2,10,0.0,25.17
1984,2,11,0.0,24.86
1984,2,12,0.0,25.17
1984,2,13,0.0,25.04
1984,2,14,0.0,24.64
1984,2,15,0.0,24.96
1984,2,16,0.0,25.11
1984,2,17,0.0,25.66
1984,2,18,0.0,24.28
1984,2,19,0.0,23.53
1984,2,20,0.0,24.18
1984,2,21,0.0,24.03
1984,2,22,0.0,24.44
1984,2,23,0.0,24.02
1984,2,24,0.0,24.25
1984,2,25,0.0,25.54
1984,2,26,0.0,26.11
1984,2,27,0.0,26.78
1984,2,28,0.0,26.71
1984,2,29,0.0,27.86
1984,3,1,0.0,27.89
1984,3,2,0.04,28.54
1984,3,3,0.03,28.7
1984,3,4,0.16,28.86
1984,3,5,0.48,28.55
1984,3,6,0.0,27.75
1984,3,7,0.0,28.62
1984,3,8,0.0,28.64
1984,3,9,0.0,28.56
1984,3,10,0.0,28.42
1984,3,11,0.0,28.02
1984,3,12,0.0,27.74
1984,3,13,0.0,27.41
1984,3,14,0.0,27.63
1984,3,15,0.0,28.08
1984,3,16,0.0,29.15
1984,3,17,0.52,30.76
1984,3,18,0.13,30.58
1984,3,19,0.11,31.06
1984,3,20,7.73,29.99
1984,3,21,1.57,28.48
1984,3,22,0.05,29.27
1984,3,23,0.09,29.0
1984,3,24,0.14,29.49
1984,3,25,0.28,30.82
1984,3,26,0.97,30.38
1984,3,27,0.21,29.96
1984,3,28,0.02,29.6
1984,3,29,0.0,29.65
1984,3,30,0.0,30.51
1984,3,31,0.02,30.96
1984,4,1,0.04,31.41
1984,4,2,0.07,31.4
1984,4,3,0.02,31.4
1984,4,4,0.0,31.38
1984,4,5,0.0,30.91
1984,4,6,1.67,31.63
1984,4,7,2.55,31.77
1984,4,8,11.05,28.08
1984,4,9,0.67,29.9
1984,4,10,0.0,29.22
1984,4,11,0.65,28.71
1984,4,12,0.88,29.27
1984,4,13,0.67,30.11
1984,4,14,0.17,30.41
1984,4,15,0.01,29.42
1984,4,16,0.04,29.72
1984,4,17,0.0,30.47
1984,4,18,0.0,29.76
1984,4,19,0.0,30.39
1984,4,20,0.0,30.21
1984,4,21,0.0,31.08
1984,4,22,0.04,31.72
1984,4,23,0.14,32.61
1984,4,24,0.01,32.56
1984,4,25,0.0,32.25
1984,4,26,0.0,32.41
1984,4,27,0.0,33.28
1984,4,28,0.0,32.16
1984,4,29,0.0,31.46
1984,4,30,0.0,31.49
1984,5,1,0.0,30.95
1984,5,2,0.0,30.8
1984,5,3,0.0,29.43
1984,5,4,0.0,30.14
1984,5,5,0.01,32.41
1984,5,6,0.0,32.71
1984,5,7,0.0,31.85
1984,5,8,0.0,31.69
1984,5,9,0.0,30.4
