YEAR,MO,DY,PRECTOTCORR,TS
1983,1,1,0.0,17.84
1983,1,2,0.0,17.26
1983,1,3,0.0,17.52
1983,1,4,0.0,16.75
1983,1,5,0.0,16.29
1983,1,6,0.0,16.38
1983,1,7,0.0,16.59
1983,1,8,0.0,17.65
1983,1,9,0.0,18.49
1983,1,10,0.0,18.48
1983,1,11,0.0,18.28
1983,1,12,0.0,18.65
1983,1,13,0.0,18.77
1983,1,14,0.0,18.54
1983,1,15,0.0,19.48
1983,1,16,0.0,19.59
1983,1,17,0.0,20.06
1983,1,18,0.0,19.64
1983,1,19,0.0,19.75
1983,1,20,0.0,19.92
1983,1,21,0.0,20.21
1983,1,22,0.0,20.26
1983,1,23,0.0,18.93
1983,1,24,0.0,18.2
1983,1,25,0.0,18.78
1983,1,26,0.0,19.4
1983,1,27,0.0,19.78
1983,1,28,0.0,19.91
1983,1,29,0.0,19.76
1983,1,30,0.0,20.86
1983,1,31,0.0,21.8
1983,2,1,0.0,22.0
1983,2,2,0.0,22.92
1983,2,3,0.0,23.8
1983,2,4,0.0,23.8
1983,2,5,0.0,24.5
1983,2,6,0.0,24.44
1983,2,7,0.0,25.37
1983,2,8,0.0,26.27
1983,2,9,0.0,26.77
1983,2,10,0.0,26.59
1983,2,11,0.0,25.43
1983,2,12,0.0,26.31
1983,2,13,0.0,26.25
1983,2,14,0.0,25.68
1983,2,15,0.0,25.3
1983,2,16,0.0,24.79
1983,2,17,0.0,25.23
1983,2,18,0.0,26.49
1983,2,19,0.0,26.3
1983,2,20,0.0,27.9
1983,2,21,0.0,27.67
1983,2,22,0.08,26.8
1983,2,23,0.1,27.36
1983,2,24,0.05,27.83
1983,2,25,0.0,28.97
1983,2,26,0.0,26.88
1983,2,27,0.0,25.01
1983,2,28,0.0,25.61
1983,3,1,0.0,26.33
1983,3,2,0.0,27.01
1983,3,3,0.0,27.17
1983,3,4,0.0,27.31
1983,3,5,0.0,26.79
1983,3,6,0.0,26.87
1983,3,7,0.0,26.53
1983,3,8,0.0,27.52
1983,3,9,0.0,27.23
1983,3,10,0.0,27.58
1983,3,11,0.0,27.6
1983,3,12,0.0,27.63
1983,3,13,0.0,28.41
1983,3,14,0.0,28.21
1983,3,15,0.0,28.45
1983,3,16,0.0,29.19
1983,3,17,0.0,30.2
1983,3,18,0.0,30.35
1983,3,19,0.0,30.47
1983,3,20,0.0,29.86
1983,3,21,0.0,29.31
1983,3,22,0.0,27.61
1983,3,23,0.0,29.61
1983,3,24,0.0,30.45
1983,3,25,0.0,31.16
1983,3,26,0.0,31.81
1983,3,27,0.0,30.68
1983,3,28,0.11,32.29
1983,3,29,0.25,31.35
1983,3,30,0.43,30.65
1983,3,31,0.77,28.98
1983,4,1,5.58,27.58
1983,4,2,0.0,30.89
1983,4,3,0.0,28.54
1983,4,4,0.0,30.57
1983,4,5,0.0,30.72
1983,4,6,0.0,31.53
1983,4,7,0.36,30.94
1983,4,8,0.99,30.4
1983,4,9,2.08,28.33
1983,4,10,3.27,25.95
1983,4,11,11.25,27.59
1983,4,12,1.02,28.89
1983,4,13,0.07,28.97
1983,4,14,2.1,27.73
1983,4,15,0.11,31.07
1983,4,16,0.15,31.21
1983,4,17,0.0,30.68
1983,4,18,0.76,28.54
1983,4,19,3.33,31.43
1983,4,20,0.03,31.41
1983,4,21,0.0,31.23
1983,4,22,0.01,29.88
1983,4,23,0.05,31.07
1983,4,24,0.04,31.78
1983,4,25,1.17,32.47
1983,4,26,0.0,32.72
1983,4,27,0.0,32.79
1983,4,28,0.0,31.69
1983,4,29,0.0,32.18
1983,4,30,0.0,33.57
1983,5,1,0.32,32.36
1983,5,2,1.65,31.46
1983,5,3,0.99,32.76
1983,5,4,1.84,32.17
1983,5,5,2.25,31.14
1983,5,6,17.44,29.37
1983,5,7,4.75,30.59
1983,5,8,5.99,29.74
1983,5,9,12.81,27.23
1983,5,10,20.37,25.15
1983,5,11,1.28,28.04
1983,5,12,1.83,30.22
1983,5,13,4.44,28.66
1983,5,14,2.46,28.29
1983,5,15,4.21,27.5
1983,5,16,0.49,28.26
1983,5,17,14.42,27.42
1983,5,18,17.22,26.29
1983,5,19,9.29,26.74
1983,5,20,9.37,27.43
1983,5,21,4.99,27.28
1983,5,22,2.96,25.71
1983,5,23,1.48,26.39
1983,5,24,4.52,25.39
1983,5,25,7.91,25.14
1983,5,26,4.96,26.72
1983,5,27,5.97,26.96
1983,5,28,8.78,26.64
1983,5,29,6.96,26.97
1983,5,30,8.16,27.14
1983,5,31,6.43,26.68
1983,6,1,6.75,25.47
1983,6,2,7.08,25.16
1983,6,3,6.95,25.12
1983,6,4,13.37,24.48
1983,6,5,7.52,24.45
1983,6,6,3.58,25.65
1983,6,7,2.33,26.21
1983,6,8,2.39,24.86
1983,6,9,2.09,26.17
1983,6,10,3.54,25.91
1983,6,11,8.38,25.49
1983,6,12,7.76,25.52
1983,6,13,6.74,26.12
1983,6,14,10.16,25.78
1983,6,15,5.9,24.4
1983,6,16,2.45,25.36
1983,6,17,2.43,25.28
1983,6,18,3.77,25.54
1983,6,19,2.75,24.61
1983,6,20,5.84,24.95
1983,6,21,4.66,24.74
1983,6,22,12.98,24.99
1983,6,23,9.83,24.94
1983,6,24,15.06,25.12
1983,6,25,1.26,24.76
1983,6,26,1.73,25.33
1983,6,27,0.75,25.2
1983,6,28,2.03,25.37
1983,6,29,1.51,24.74
1983,6,30,2.01,23.76
1983,7,1,2.25,25.39
1983,7,2,6.9,25.73
1983,7,3,20.66,24.55
1983,7,4,9.06,22.98
1983,7,5,44.86,23.77
1983,7,6,19.94,23.86
1983,7,7,21.53,24.49
1983,7,8,15.13,24.37
1983,7,9,12.14,23.53
1983,7,10,2.04,25.02
1983,7,11,3.93,24.78
1983,7,12,4.23,24.57
1983,7,13,2.97,23.95
1983,7,14,2.74,24.25
1983,7,15,13.35,23.7
1983,7,16,7.34,23.16
1983,7,17,2.9,23.52
1983,7,18,7.57,24.11
1983,7,19,3.8,24.44
1983,7,20,3.47,24.41
1983,7,21,3.29,23.5
1983,7,22,13.21,23.84
1983,7,23,11.93,23.51
1983,7,24,9.3,23.43
1983,7,25,3.85,22.52
1983,7,26,8.36,22.88
1983,7,27,7.01,23.35
1983,7,28,10.62,23.82
1983,7,29,5.49,22.83
1983,7,30,3.67,22.5
1983,7,31,10.26,22.59
1983,8,1,5.5,24.37
1983,8,2,14.03,24.18
1983,8,3,23.98,23.01
1983,8,4,14.04,22.06
1983,8,5,19.57,23.09
1983,8,6,10.93,23.66
1983,8,7,14.56,23.16
1983,8,8,17.85,22.66
