YEAR,MO,DY,PRECTOTCORR,TS
1983,1,1,0.0,19.37
1983,1,2,0.0,18.43
1983,1,3,0.0,18.37
1983,1,4,0.0,17.85
1983,1,5,0.0,17.25
1983,1,6,0.0,17.3
1983,1,7,0.0,17.92
1983,1,8,0.0,18.56
1983,1,9,0.0,17.98
1983,1,10,0.0,19.56
1983,1,11,0.0,19.15
1983,1,12,0.0,19.33
1983,1,13,0.0,19.15
1983,1,14,0.0,18.75
1983,1,15,0.0,19.71
1983,1,16,0.0,20.21
1983,1,17,0.0,20.81
1983,1,18,0.0,19.95
1983,1,19,0.0,19.77
1983,1,20,0.0,20.3
1983,1,21,0.0,20.87
1983,1,22,0.0,20.93
1983,1,23,0.0,19.43
1983,1,24,0.0,18.26
1983,1,25,0.0,18.49
1983,1,26,0.0,19.26
1983,1,27,0.0,19.53
1983,1,28,0.0,19.55
1983,1,29,0.0,19.51
1983,1,30,0.0,19.93
1983,1,31,0.0,20.92
1983,2,1,0.0,21.96
1983,2,2,0.0,23.32
1983,2,3,0.0,24.0
1983,2,4,0.0,24.11
1983,2,5,0.0,24.48
1983,2,6,0.0,24.99
1983,2,7,0.0,25.71
1983,2,8,0.0,26.7
1983,2,9,0.0,26.96
1983,2,10,0.0,26.89
1983,2,11,0.0,26.56
1983,2,12,0.0,27.1
1983,2,13,0.0,26.4
1983,2,14,0.0,26.53
1983,2,15,0.0,25.93
1983,2,16,0.0,25.05
1983,2,17,0.0,26.2
1983,2,18,0.0,26.91
1983,2,19,0.0,28.35
1983,2,20,0.0,28.63
1983,2,21,0.0,28.77
1983,2,22,0.0,29.27
1983,2,23,0.0,28.28
1983,2,24,0.01,27.76
1983,2,25,0.0,27.85
1983,2,26,0.0,25.84
1983,2,27,0.0,24.24
1983,2,28,0.0,24.37
1983,3,1,0.0,25.3
1983,3,2,0.0,26.22
1983,3,3,0.0,26.76
1983,3,4,0.0,25.19
1983,3,5,0.0,26.25
1983,3,6,0.0,26.33
1983,3,7,0.0,25.48
1983,3,8,0.0,25.95
1983,3,9,0.0,26.21
1983,3,10,0.0,27.01
1983,3,11,0.0,26.71
1983,3,12,0.0,26.96
1983,3,13,0.0,27.55
1983,3,14,0.0,27.06
1983,3,15,0.0,27.6
1983,3,16,0.0,28.0
1983,3,17,0.0,28.48
1983,3,18,0.0,29.37
1983,3,19,0.0,29.62
1983,3,20,0.0,28.38
1983,3,21,0.0,27.36
1983,3,22,0.0,27.65
1983,3,23,0.0,27.77
1983,3,24,0.0,28.78
1983,3,25,0.0,29.53
1983,3,26,0.0,31.03
1983,3,27,0.0,31.5
1983,3,28,0.02,33.87
1983,3,29,0.18,35.17
1983,3,30,0.18,32.26
1983,3,31,0.57,31.53
1983,4,1,1.09,30.98
1983,4,2,0.0,30.44
1983,4,3,0.01,30.35
1983,4,4,0.0,31.14
1983,4,5,0.0,31.02
1983,4,6,0.0,32.89
1983,4,7,0.0,34.24
1983,4,8,0.15,33.71
1983,4,9,0.48,31.0
1983,4,10,1.14,28.15
1983,4,11,1.8,28.9
1983,4,12,0.32,30.84
1983,4,13,0.0,30.05
1983,4,14,0.0,28.55
1983,4,15,0.01,29.82
1983,4,16,0.04,31.44
1983,4,17,0.0,30.59
1983,4,18,0.0,30.22
1983,4,19,0.02,32.07
1983,4,20,0.64,33.44
1983,4,21,0.0,31.27
1983,4,22,0.0,29.87
1983,4,23,0.02,30.52
1983,4,24,0.01,31.59
1983,4,25,0.15,33.79
1983,4,26,0.0,34.87
1983,4,27,0.0,33.36
1983,4,28,0.0,32.31
1983,4,29,0.0,32.32
1983,4,30,0.0,32.15
1983,5,1,0.02,31.94
1983,5,2,0.31,33.66
1983,5,3,1.09,34.52
1983,5,4,0.95,33.92
1983,5,5,0.19,33.98
1983,5,6,1.47,33.87
1983,5,7,3.84,33.52
1983,5,8,3.75,31.98
1983,5,9,4.53,31.57
1983,5,10,1.46,31.36
1983,5,11,0.26,31.27
1983,5,12,0.15,31.74
1983,5,13,4.49,31.47
1983,5,14,0.72,31.94
1983,5,15,4.71,30.92
1983,5,16,4.02,28.6
1983,5,17,4.44,30.46
1983,5,18,3.26,29.45
1983,5,19,1.92,29.07
1983,5,20,5.85,29.14
1983,5,21,1.19,30.44
1983,5,22,0.35,28.76
1983,5,23,0.14,31.53
1983,5,24,2.56,29.38
1983,5,25,2.54,28.06
