YEAR,MO,DY,PRECTOTCORR,TS
1983,1,1,0.0,19.6
1983,1,2,0.0,19.3
1983,1,3,0.0,18.67
1983,1,4,0.0,17.84
1983,1,5,0.0,17.31
1983,1,6,0.0,17.02
1983,1,7,0.0,17.15
1983,1,8,0.0,18.34
1983,1,9,0.0,18.92
1983,1,10,0.0,20.13
1983,1,11,0.0,20.0
1983,1,12,0.0,19.88
1983,1,13,0.0,19.71
1983,1,14,0.0,18.69
1983,1,15,0.0,19.24
1983,1,16,0.0,19.93
1983,1,17,0.0,19.85
1983,1,18,0.0,19.58
1983,1,19,0.0,19.54
1983,1,20,0.0,20.29
1983,1,21,0.0,20.43
1983,1,22,0.0,20.59
1983,1,23,0.0,18.75
1983,1,24,0.0,17.65
1983,1,25,0.0,18.48
1983,1,26,0.0,19.26
1983,1,27,0.0,19.22
1983,1,28,0.0,19.19
1983,1,29,0.0,18.99
1983,1,30,0.0,19.51
1983,1,31,0.0,20.2
1983,2,1,0.0,20.9
1983,2,2,0.0,22.42
1983,2,3,0.0,23.9
1983,2,4,0.0,23.29
1983,2,5,0.0,23.71
1983,2,6,0.0,24.05
1983,2,7,0.0,24.81
1983,2,8,0.0,26.1
1983,2,9,0.0,26.2
1983,2,10,0.0,25.52
1983,2,11,0.0,26.49
1983,2,12,0.0,27.45
1983,2,13,0.0,27.53
1983,2,14,0.0,27.23
1983,2,15,0.0,27.31
1983,2,16,0.0,27.2
1983,2,17,0.0,28.51
1983,2,18,0.0,29.22
1983,2,19,0.0,29.53
1983,2,20,0.0,28.87
1983,2,21,0.0,28.44
1983,2,22,0.0,28.72
1983,2,23,0.0,27.37
1983,2,24,0.0,27.87
1983,2,25,0.0,27.38
1983,2,26,0.0,25.23
1983,2,27,0.0,23.26
1983,2,28,0.0,23.38
1983,3,1,0.0,24.22
1983,3,2,0.0,25.58
1983,3,3,0.0,25.65
1983,3,4,0.0,26.53
1983,3,5,0.0,26.54
1983,3,6,0.0,26.48
1983,3,7,0.0,26.13
1983,3,8,0.0,26.28
1983,3,9,0.0,25.97
1983,3,10,0.0,25.55
1983,3,11,0.0,26.14
1983,3,12,0.0,26.17
1983,3,13,0.0,26.29
1983,3,14,0.0,26.1
1983,3,15,0.0,25.41
1983,3,16,0.0,26.21
1983,3,17,0.0,27.44
1983,3,18,0.0,28.69
1983,3,19,0.0,28.72
1983,3,20,0.0,27.42
1983,3,21,0.0,26.93
1983,3,22,0.0,28.08
1983,3,23,0.0,29.5
1983,3,24,0.0,29.68
1983,3,25,0.0,30.3
1983,3,26,0.0,29.98
1983,3,27,0.0,30.72
1983,3,28,0.0,31.21
1983,3,29,0.0,33.0
1983,3,30,0.0,30.93
1983,3,31,0.0,33.53
1983,4,1,0.0,33.88
1983,4,2,0.0,32.44
1983,4,3,0.0,32.33
1983,4,4,0.0,30.91
1983,4,5,0.0,32.24
