YEAR,MO,DY,PRECTOTCORR,TS
1983,1,1,0.0,18.98
1983,1,2,0.0,18.3
1983,1,3,0.0,18.26
1983,1,4,0.0,17.73
1983,1,5,0.0,17.4
1983,1,6,0.0,17.48
1983,1,7,0.0,17.96
1983,1,8,0.0,18.68
1983,1,9,0.0,19.33
1983,1,10,0.0,19.93
1983,1,11,0.0,19.48
1983,1,12,0.0,19.51
1983,1,13,0.0,19.67
1983,1,14,0.0,19.29
1983,1,15,0.0,19.63
1983,1,16,0.0,20.39
1983,1,17,0.0,20.81
1983,1,18,0.0,20.22
1983,1,19,0.0,20.13
1983,1,20,0.0,20.52
1983,1,21,0.0,20.97
1983,1,22,0.0,21.04
1983,1,23,0.0,19.73
1983,1,24,0.0,18.74
1983,1,25,0.0,19.15
1983,1,26,0.0,19.68
1983,1,27,0.0,20.24
1983,1,28,0.0,20.29
1983,1,29,0.0,20.1
1983,1,30,0.0,20.68
1983,1,31,0.0,21.34
1983,2,1,0.0,22.13
1983,2,2,0.0,23.23
1983,2,3,0.0,24.2
1983,2,4,0.0,23.89
1983,2,5,0.0,24.67
1983,2,6,0.0,24.89
1983,2,7,0.0,25.68
1983,2,8,0.0,26.79
1983,2,9,0.0,27.53
1983,2,10,0.0,27.15
1983,2,11,0.0,26.72
1983,2,12,0.0,27.19
1983,2,13,0.0,27.04
1983,2,14,0.0,27.14
1983,2,15,0.0,26.4
1983,2,16,0.0,26.08
1983,2,17,0.0,26.78
1983,2,18,0.0,27.78
1983,2,19,0.0,28.96
1983,2,20,0.0,29.6
1983,2,21,0.0,29.37
1983,2,22,0.0,29.21
1983,2,23,0.01,29.04
1983,2,24,0.12,29.13
1983,2,25,0.0,29.12
1983,2,26,0.0,27.15
1983,2,27,0.0,24.99
1983,2,28,0.0,25.86
1983,3,1,0.0,26.54
1983,3,2,0.0,27.71
1983,3,3,0.0,27.84
1983,3,4,0.0,27.16
1983,3,5,0.0,27.03
1983,3,6,0.0,27.12
1983,3,7,0.0,26.25
1983,3,8,0.0,27.15
1983,3,9,0.0,27.26
1983,3,10,0.0,27.71
1983,3,11,0.0,27.55
1983,3,12,0.0,27.58
1983,3,13,0.0,28.34
1983,3,14,0.0,28.52
1983,3,15,0.0,28.39
1983,3,16,0.0,29.11
1983,3,17,0.0,29.68
1983,3,18,0.0,30.33
1983,3,19,0.0,30.4
1983,3,20,0.0,29.58
1983,3,21,0.0,28.36
1983,3,22,0.0,29.58
1983,3,23,0.0,29.72
1983,3,24,0.0,30.68
1983,3,25,0.0,31.4
1983,3,26,0.0,32.2
1983,3,27,0.0,31.61
1983,3,28,0.0,34.57
1983,3,29,0.84,34.26
1983,3,30,0.53,31.44
1983,3,31,0.99,31.98
1983,4,1,2.17,31.88
1983,4,2,0.0,30.66
1983,4,3,0.0,31.25
1983,4,4,0.0,31.88
1983,4,5,0.0,31.59
1983,4,6,0.0,33.19
1983,4,7,0.01,34.54
1983,4,8,0.58,32.91
1983,4,9,0.76,30.8
1983,4,10,1.85,28.88
1983,4,11,1.91,29.72
1983,4,12,0.24,31.13
1983,4,13,0.0,30.88
1983,4,14,0.02,29.81
1983,4,15,0.16,31.51
1983,4,16,0.43,31.85
1983,4,17,0.0,32.44
1983,4,18,0.01,32.21
1983,4,19,0.21,33.06
1983,4,20,0.28,34.13
1983,4,21,0.0,32.99
1983,4,22,0.0,31.14
1983,4,23,0.05,32.23
1983,4,24,0.01,33.38
1983,4,25,0.58,35.57
1983,4,26,0.0,35.42
1983,4,27,0.0,34.82
1983,4,28,0.0,33.29
1983,4,29,0.0,33.59
1983,4,30,0.0,33.81
1983,5,1,0.04,33.18
1983,5,2,0.78,34.7
1983,5,3,1.17,35.72
1983,5,4,2.43,34.87
1983,5,5,2.57,32.97
1983,5,6,7.25,32.19
1983,5,7,5.03,32.17
1983,5,8,6.11,30.92
1983,5,9,6.23,30.24
1983,5,10,5.43,28.28
1983,5,11,0.28,28.04
1983,5,12,0.44,30.84
1983,5,13,4.65,30.27
1983,5,14,1.26,31.22
1983,5,15,2.76,30.08
1983,5,16,0.48,29.7
1983,5,17,5.46,30.06
1983,5,18,5.8,28.68
1983,5,19,4.83,29.04
1983,5,20,4.89,29.05
1983,5,21,2.72,30.4
1983,5,22,1.54,28.25
1983,5,23,0.81,30.04
1983,5,24,2.73,28.43
1983,5,25,3.13,27.46
1983,5,26,3.01,29.05
1983,5,27,1.93,30.8
1983,5,28,3.32,29.88
1983,5,29,3.0,31.35
1983,5,30,5.02,30.52
1983,5,31,4.87,29.53
1983,6,1,7.66,26.82
1983,6,2,3.04,29.36
1983,6,3,7.63,26.74
1983,6,4,27.96,27.72
1983,6,5,1.98,26.27
1983,6,6,0.9,27.68
1983,6,7,0.89,28.69
1983,6,8,1.23,27.11
1983,6,9,0.85,28.75
1983,6,10,1.01,28.11
1983,6,11,4.78,25.84
1983,6,12,2.43,27.04
1983,6,13,2.25,28.62
1983,6,14,2.69,27.01
1983,6,15,2.41,27.03
1983,6,16,1.19,27.05
1983,6,17,1.24,29.09
1983,6,18,1.55,29.65
1983,6,19,2.7,27.0
1983,6,20,3.82,26.88
1983,6,21,3.74,27.24
1983,6,22,10.47,26.77
1983,6,23,6.21,26.49
1983,6,24,10.76,26.4
1983,6,25,0.44,27.22
1983,6,26,2.2,28.12
1983,6,27,0.72,26.48
1983,6,28,0.62,27.74
1983,6,29,0.79,27.48
1983,6,30,3.02,26.25
1983,7,1,1.34,27.9
1983,7,2,6.1,27.91
1983,7,3,14.8,25.82
1983,7,4,7.01,24.15
1983,7,5,24.3,24.73
1983,7,6,15.15,25.08
1983,7,7,12.07,25.26
1983,7,8,6.74,25.97
1983,7,9,13.18,25.07
1983,7,10,2.4,25.11
1983,7,11,2.67,26.09
1983,7,12,3.3,26.71
1983,7,13,3.11,25.77
1983,7,14,3.16,25.55
1983,7,15,5.97,25.44
1983,7,16,5.64,24.92
1983,7,17,2.2,25.6
1983,7,18,5.57,25.94
1983,7,19,2.16,26.15
1983,7,20,7.46,26.07
1983,7,21,3.07,25.69
1983,7,22,16.3,25.09
1983,7,23,4.78,25.14
1983,7,24,3.22,25.14
1983,7,25,4.93,24.87
1983,7,26,8.68,24.65
1983,7,27,12.16,25.13
1983,7,28,11.78,24.49
1983,7,29,7.98,24.22
1983,7,30,4.87,24.14
1983,7,31,13.01,24.6
1983,8,1,6.4,25.73
1983,8,2,17.31,25.66
1983,8,3,17.12,24.41
1983,8,4,20.54,24.25
1983,8,5,17.37,24.61
1983,8,6,7.98,25.26
1983,8,7,11.9,24.29
1983,8,8,16.91,23.69
1983,8,9,6.88,24.69
1983,8,10,3.43,25.51
1983,8,11,4.27,25.26
1983,8,12,12.37,24.95
1983,8,13,2.02,24.46
1983,8,14,3.79,23.87
1983,8,15,7.85,25.63
1983,8,16,4.42,24.44
1983,8,17,17.93,24.71
1983,8,18,14.14,25.09
1983,8,19,14.02,23.97
1983,8,20,5.47,24.2
1983,8,21,2.94,23.61
1983,8,22,14.69,24.73
1983,8,23,4.93,24.9
1983,8,24,3.86,23.99
1983,8,25,6.05,24.42
