YEAR,MO,DY,PRECTOTCORR,TS
1983,1,1,0.0,22.05
1983,1,2,0.0,21.49
1983,1,3,0.0,20.97
1983,1,4,0.0,20.1
1983,1,5,0.0,18.72
1983,1,6,0.0,17.85
1983,1,7,0.0,17.98
1983,1,8,0.0,19.44
1983,1,9,0.0,20.92
1983,1,10,0.0,20.5
1983,1,11,0.0,20.63
1983,1,12,0.0,20.58
1983,1,13,0.0,19.74
1983,1,14,0.0,19.75
1983,1,15,0.0,20.65
1983,1,16,0.0,21.14
1983,1,17,0.0,21.56
1983,1,18,0.0,20.97
1983,1,19,0.0,20.18
1983,1,20,0.0,21.04
1983,1,21,0.0,22.03
1983,1,22,0.0,21.99
1983,1,23,0.0,20.72
1983,1,24,0.0,20.43
1983,1,25,0.0,19.1
1983,1,26,0.0,19.39
1983,1,27,0.0,19.24
1983,1,28,0.0,19.67
1983,1,29,0.0,19.38
1983,1,30,0.0,19.59
1983,1,31,0.0,20.52
1983,2,1,0.0,22.12
1983,2,2,0.0,22.97
1983,2,3,0.0,24.01
1983,2,4,0.0,25.15
1983,2,5,0.0,24.98
1983,2,6,0.0,25.12
1983,2,7,0.0,25.87
1983,2,8,0.0,27.33
1983,2,9,0.0,28.26
1983,2,10,0.0,28.47
1983,2,11,0.0,28.56
1983,2,12,0.02,29.21
1983,2,13,0.0,31.01
1983,2,14,0.0,29.37
1983,2,15,0.0,26.85
1983,2,16,0.0,26.58
1983,2,17,0.0,27.86
1983,2,18,0.0,29.13
1983,2,19,0.0,29.83
1983,2,20,0.0,29.67
1983,2,21,0.0,28.95
1983,2,22,0.0,27.67
1983,2,23,0.0,26.3
1983,2,24,0.0,28.25
1983,2,25,0.0,28.57
1983,2,26,0.0,26.86
1983,2,27,0.0,25.63
1983,2,28,0.0,25.75
1983,3,1,0.1,26.36
1983,3,2,0.0,26.37
1983,3,3,0.0,25.26
1983,3,4,0.0,27.5
1983,3,5,0.0,27.69
1983,3,6,0.0,26.99
1983,3,7,0.0,28.17
1983,3,8,0.0,28.34
1983,3,9,0.0,27.75
1983,3,10,0.0,27.27
1983,3,11,0.0,26.83
1983,3,12,0.0,27.6
1983,3,13,0.0,27.91
1983,3,14,0.0,27.92
1983,3,15,0.0,27.9
1983,3,16,0.0,27.9
1983,3,17,0.0,28.56
1983,3,18,0.0,28.51
1983,3,19,0.0,29.29
1983,3,20,0.0,29.0
1983,3,21,0.0,27.97
1983,3,22,0.0,27.92
1983,3,23,0.0,29.32
1983,3,24,0.0,29.45
1983,3,25,0.0,31.41
1983,3,26,0.0,31.97
1983,3,27,0.0,31.65
1983,3,28,0.02,33.8
1983,3,29,0.04,35.09
1983,3,30,0.03,33.12
1983,3,31,0.0,31.93
1983,4,1,0.11,31.8
1983,4,2,0.0,32.16
1983,4,3,0.01,31.68
1983,4,4,0.01,32.88
1983,4,5,0.0,33.18
1983,4,6,0.0,32.09
1983,4,7,0.08,33.88
1983,4,8,0.01,33.73
1983,4,9,0.01,33.52
1983,4,10,0.4,33.75
1983,4,11,0.09,33.26
1983,4,12,0.11,33.09
1983,4,13,0.0,32.76
1983,4,14,0.0,31.19
1983,4,15,0.0,30.26
1983,4,16,0.0,31.11
1983,4,17,0.0,31.87
1983,4,18,0.0,31.71
1983,4,19,0.0,32.91
1983,4,20,0.0,34.11
1983,4,21,0.0,33.15
1983,4,22,0.0,32.5
1983,4,23,0.0,29.7
1983,4,24,0.0,32.93
1983,4,25,0.0,35.11
1983,4,26,0.0,34.74
1983,4,27,0.0,33.99
1983,4,28,0.0,33.39
1983,4,29,0.0,33.42
1983,4,30,0.0,34.08
1983,5,1,0.03,33.36
1983,5,2,0.0,33.52
1983,5,3,0.16,34.03
1983,5,4,0.0,33.89
1983,5,5,0.06,35.14
1983,5,6,0.48,36.02
1983,5,7,0.24,36.43
1983,5,8,0.82,36.33
1983,5,9,0.12,37.65
1983,5,10,0.01,37.24
1983,5,11,0.76,38.02
1983,5,12,1.82,36.94
1983,5,13,0.89,33.24
1983,5,14,2.18,35.49
1983,5,15,1.24,32.63
1983,5,16,0.66,33.77
1983,5,17,0.79,35.69
1983,5,18,1.55,36.36
1983,5,19,1.64,35.53
1983,5,20,0.05,32.61
1983,5,21,1.54,32.1
1983,5,22,0.94,30.74
1983,5,23,2.99,32.68
1983,5,24,4.98,31.25
1983,5,25,4.36,30.69
1983,5,26,2.59,33.78
1983,5,27,0.85,33.88
1983,5,28,0.05,35.97
1983,5,29,1.54,36.35
1983,5,30,1.58,35.65
1983,5,31,3.08,35.56
1983,6,1,7.84,32.3
1983,6,2,1.35,29.71
1983,6,3,6.23,30.41
1983,6,4,0.27,31.68
1983,6,5,2.29,33.34
1983,6,6,2.04,33.21
1983,6,7,0.8,33.9
1983,6,8,2.11,32.46
1983,6,9,1.19,31.6
1983,6,10,0.02,29.72
1983,6,11,0.01,32.16
1983,6,12,0.01,32.72
1983,6,13,0.01,34.69
1983,6,14,0.01,34.24
1983,6,15,11.39,27.74
1983,6,16,3.96,27.96
1983,6,17,2.37,29.68
1983,6,18,2.77,31.8
1983,6,19,4.82,31.59
1983,6,20,2.86,31.34
1983,6,21,3.66,30.19
1983,6,22,8.12,30.5
1983,6,23,14.18,27.41
1983,6,24,11.97,28.01
1983,6,25,2.64,28.02
1983,6,26,4.56,28.57
1983,6,27,1.4,30.48
1983,6,28,2.44,28.79
1983,6,29,1.43,29.18
1983,6,30,0.16,31.04
1983,7,1,0.13,31.25
1983,7,2,0.02,33.28
1983,7,3,0.3,33.01
1983,7,4,0.44,32.06
1983,7,5,2.42,30.83
1983,7,6,1.58,30.46
