YEAR,MO,DY,PRECTOTCORR,TS
1983,1,1,0.0,19.33
1983,1,2,0.0,19.2
1983,1,3,0.0,18.84
1983,1,4,0.0,18.06
1983,1,5,0.0,17.4
1983,1,6,0.0,17.07
1983,1,7,0.0,17.27
1983,1,8,0.0,18.33
1983,1,9,0.0,18.46
1983,1,10,0.0,19.97
1983,1,11,0.0,19.49
1983,1,12,0.0,19.2
1983,1,13,0.0,19.2
1983,1,14,0.0,18.52
1983,1,15,0.0,19.72
1983,1,16,0.0,20.09
1983,1,17,0.0,20.15
1983,1,18,0.0,19.26
1983,1,19,0.0,19.48
1983,1,20,0.0,20.06
1983,1,21,0.0,20.29
1983,1,22,0.0,20.26
1983,1,23,0.0,18.7
1983,1,24,0.0,17.98
1983,1,25,0.0,18.13
1983,1,26,0.0,18.71
1983,1,27,0.0,18.99
1983,1,28,0.0,19.08
1983,1,29,0.0,18.8
1983,1,30,0.0,19.21
1983,1,31,0.0,19.67
1983,2,1,0.0,20.67
1983,2,2,0.0,22.32
1983,2,3,0.0,23.88
1983,2,4,0.0,23.46
1983,2,5,0.0,23.57
1983,2,6,0.0,23.87
1983,2,7,0.0,25.01
1983,2,8,0.0,26.16
1983,2,9,0.0,26.21
1983,2,10,0.0,25.95
1983,2,11,0.0,26.63
1983,2,12,0.0,26.9
1983,2,13,0.0,27.04
1983,2,14,0.0,26.96
1983,2,15,0.0,26.58
1983,2,16,0.0,26.45
1983,2,17,0.0,27.59
1983,2,18,0.0,28.45
1983,2,19,0.0,29.53
1983,2,20,0.0,28.25
1983,2,21,0.0,28.32
1983,2,22,0.0,28.64
1983,2,23,0.0,27.72
1983,2,24,0.01,27.45
1983,2,25,0.0,26.37
1983,2,26,0.0,25.24
1983,2,27,0.0,23.65
1983,2,28,0.0,23.61
1983,3,1,0.0,23.99
1983,3,2,0.0,25.26
1983,3,3,0.0,25.55
1983,3,4,0.0,25.91
1983,3,5,0.0,26.09
1983,3,6,0.0,25.83
1983,3,7,0.0,25.32
1983,3,8,0.0,25.37
1983,3,9,0.0,25.49
1983,3,10,0.0,25.82
1983,3,11,0.0,25.91
1983,3,12,0.0,25.84
1983,3,13,0.0,26.08
1983,3,14,0.0,25.83
1983,3,15,0.0,25.2
1983,3,16,0.0,26.07
1983,3,17,0.0,27.16
1983,3,18,0.0,28.51
1983,3,19,0.0,28.41
1983,3,20,0.0,27.31
1983,3,21,0.0,26.21
1983,3,22,0.0,25.97
1983,3,23,0.0,28.0
1983,3,24,0.0,29.21
1983,3,25,0.0,30.0
1983,3,26,0.0,29.82
1983,3,27,0.0,30.12
1983,3,28,0.0,30.87
1983,3,29,0.0,34.05
1983,3,30,0.01,32.37
1983,3,31,0.04,32.64
1983,4,1,0.0,32.31
1983,4,2,0.0,31.99
1983,4,3,0.0,32.57
1983,4,4,0.0,31.42
1983,4,5,0.0,32.03
1983,4,6,0.0,33.67
1983,4,7,0.0,32.82
1983,4,8,0.0,33.0
1983,4,9,0.0,31.05
1983,4,10,0.1,29.31
1983,4,11,0.03,31.81
1983,4,12,0.04,32.85
1983,4,13,0.0,30.82
1983,4,14,0.0,29.56
1983,4,15,0.0,30.41
1983,4,16,0.0,32.59
1983,4,17,0.0,31.98
1983,4,18,0.0,32.18
1983,4,19,0.01,33.35
1983,4,20,0.01,33.36
1983,4,21,0.0,31.85
1983,4,22,0.0,31.16
1983,4,23,0.0,31.68
1983,4,24,0.0,32.41
1983,4,25,0.0,32.63
1983,4,26,0.0,33.6
1983,4,27,0.0,34.2
1983,4,28,0.0,34.19
1983,4,29,0.0,34.41
1983,4,30,0.0,33.71
1983,5,1,0.0,33.63
1983,5,2,0.0,32.62
1983,5,3,0.26,32.62
1983,5,4,0.0,33.76
1983,5,5,0.0,32.8
1983,5,6,0.0,33.72
1983,5,7,0.5,33.53
1983,5,8,2.01,33.89
1983,5,9,0.62,34.87
1983,5,10,2.46,34.65
1983,5,11,0.29,34.19
1983,5,12,0.0,35.23
1983,5,13,0.7,37.91
1983,5,14,0.11,37.52
1983,5,15,0.81,39.05
1983,5,16,2.36,36.26
1983,5,17,1.68,36.15
1983,5,18,1.29,36.19
1983,5,19,0.09,36.17
1983,5,20,3.56,34.79
1983,5,21,2.97,34.78
1983,5,22,1.2,33.34
1983,5,23,0.1,36.55
1983,5,24,5.24,34.3
1983,5,25,5.69,31.27
1983,5,26,0.28,33.64
1983,5,27,0.8,35.84
1983,5,28,0.0,36.63
1983,5,29,0.38,37.2
1983,5,30,2.24,36.17
1983,5,31,5.82,34.28
1983,6,1,1.95,34.31
1983,6,2,2.93,34.28
1983,6,3,5.42,30.6
1983,6,4,4.37,30.82
1983,6,5,0.02,31.98
1983,6,6,0.32,32.88
1983,6,7,0.36,32.67
1983,6,8,1.22,32.75
1983,6,9,0.63,33.69
1983,6,10,0.58,33.03
1983,6,11,1.54,32.97
1983,6,12,1.24,32.65
1983,6,13,0.04,34.68
1983,6,14,0.69,33.47
1983,6,15,0.59,30.51
1983,6,16,0.44,32.61
1983,6,17,0.32,35.54
1983,6,18,0.07,35.51
1983,6,19,0.69,33.82
1983,6,20,3.29,31.25
1983,6,21,6.69,30.65
1983,6,22,6.37,31.64
1983,6,23,3.71,30.29
1983,6,24,9.46,29.68
1983,6,25,0.79,30.24
1983,6,26,1.63,32.77
1983,6,27,0.57,31.4
1983,6,28,0.29,33.29
1983,6,29,0.82,33.71
1983,6,30,0.88,31.97
1983,7,1,1.23,33.12
1983,7,2,2.41,33.36
1983,7,3,1.79,30.59
1983,7,4,1.56,29.88
1983,7,5,7.28,30.48
1983,7,6,4.91,30.98
1983,7,7,3.44,29.86
1983,7,8,4.52,31.24
1983,7,9,8.9,29.8
1983,7,10,0.41,28.29
1983,7,11,2.91,29.08
1983,7,12,0.74,32.11
1983,7,13,3.78,31.18
1983,7,14,0.83,30.08
1983,7,15,0.9,31.0
1983,7,16,3.14,29.84
1983,7,17,1.65,30.28
1983,7,18,1.88,31.53
1983,7,19,1.31,33.19
1983,7,20,4.57,32.6
1983,7,21,5.08,31.0
1983,7,22,9.42,27.77
1983,7,23,3.77,27.92
1983,7,24,8.25,27.39
1983,7,25,1.53,27.17
1983,7,26,2.43,28.36
1983,7,27,9.51,27.26
1983,7,28,4.13,28.5
1983,7,29,5.73,28.39
1983,7,30,8.83,27.19
1983,7,31,3.5,27.09
1983,8,1,2.37,28.8
1983,8,2,6.72,28.88
1983,8,3,3.56,26.78
1983,8,4,22.48,26.99
1983,8,5,12.31,27.31
1983,8,6,4.51,27.93
1983,8,7,8.74,26.31
1983,8,8,2.34,27.23
1983,8,9,0.79,27.46
1983,8,10,4.3,28.22
1983,8,11,1.25,28.8
1983,8,12,4.56,28.25
1983,8,13,1.01,26.57
1983,8,14,1.21,27.58
1983,8,15,5.49,29.05
1983,8,16,1.78,29.15
1983,8,17,10.71,26.06
1983,8,18,10.86,26.97
1983,8,19,4.97,27.67
1983,8,20,10.19,26.81
