YEAR,MO,DY,PRECTOTCORR,TS
1983,1,1,0.0,20.56
1983,1,2,0.0,19.78
1983,1,3,0.0,19.49
1983,1,4,0.0,18.65
1983,1,5,0.0,17.55
1983,1,6,0.0,17.07
1983,1,7,0.0,17.67
1983,1,8,0.0,18.75
1983,1,9,0.0,19.34
1983,1,10,0.0,18.2
1983,1,11,0.0,19.22
1983,1,12,0.0,19.41
1983,1,13,0.0,18.66
1983,1,14,0.0,18.85
1983,1,15,0.0,19.2
1983,1,16,0.0,20.57
1983,1,17,0.0,21.11
1983,1,18,0.0,19.81
1983,1,19,0.0,19.38
1983,1,20,0.0,20.35
1983,1,21,0.0,21.14
1983,1,22,0.0,21.1
1983,1,23,0.0,19.54
1983,1,24,0.0,19.21
1983,1,25,0.0,18.3
1983,1,26,0.0,18.72
1983,1,27,0.0,18.59
1983,1,28,0.0,18.9
1983,1,29,0.0,18.9
1983,1,30,0.0,19.24
1983,1,31,0.0,20.28
1983,2,1,0.0,21.85
1983,2,2,0.0,23.06
1983,2,3,0.0,24.3
1983,2,4,0.0,24.6
1983,2,5,0.0,24.35
1983,2,6,0.0,24.83
1983,2,7,0.0,25.6
1983,2,8,0.0,26.98
1983,2,9,0.0,26.92
1983,2,10,0.0,27.49
1983,2,11,0.0,26.97
1983,2,12,0.0,27.91
1983,2,13,0.0,27.46
1983,2,14,0.0,27.54
1983,2,15,0.0,26.76
1983,2,16,0.0,26.19
1983,2,17,0.0,27.03
1983,2,18,0.0,27.98
1983,2,19,0.0,29.04
1983,2,20,0.0,28.2
1983,2,21,0.0,28.22
1983,2,22,0.0,27.67
1983,2,23,0.0,25.35
1983,2,24,0.0,26.72
1983,2,25,0.0,26.87
1983,2,26,0.0,25.41
1983,2,27,0.0,23.86
1983,2,28,0.0,24.33
1983,3,1,0.0,25.03
1983,3,2,0.0,26.16
1983,3,3,0.0,25.55
1983,3,4,0.0,26.55
1983,3,5,0.0,27.15
1983,3,6,0.0,26.27
1983,3,7,0.0,26.51
1983,3,8,0.0,26.91
1983,3,9,0.0,26.83
1983,3,10,0.0,26.62
1983,3,11,0.0,26.24
1983,3,12,0.0,27.15
1983,3,13,0.0,27.4
1983,3,14,0.0,27.06
1983,3,15,0.0,27.02
1983,3,16,0.0,27.16
1983,3,17,0.0,27.87
1983,3,18,0.0,28.36
1983,3,19,0.0,29.63
1983,3,20,0.0,28.15
1983,3,21,0.0,26.57
1983,3,22,0.0,27.13
1983,3,23,0.0,26.99
1983,3,24,0.0,28.94
1983,3,25,0.0,30.36
1983,3,26,0.0,30.63
1983,3,27,0.0,30.51
1983,3,28,0.07,32.44
1983,3,29,0.73,32.31
1983,3,30,0.43,29.96
1983,3,31,0.18,31.1
1983,4,1,0.31,31.64
1983,4,2,0.0,32.41
1983,4,3,0.0,31.67
1983,4,4,0.0,29.68
1983,4,5,0.0,31.14
1983,4,6,0.0,31.8
1983,4,7,0.0,32.43
1983,4,8,0.0,33.22
1983,4,9,0.0,32.96
1983,4,10,0.0,30.23
