YEAR,MO,DY,PRECTOTCORR,TS
1983,1,1,2.3,19.85
1983,1,2,1.18,20.2
1983,1,3,1.91,19.63
1983,1,4,4.59,19.65
1983,1,5,1.72,19.84
1983,1,6,1.39,20.37
1983,1,7,0.52,18.78
1983,1,8,0.42,19.48
1983,1,9,0.26,20.36
1983,1,10,0.08,20.6
1983,1,11,0.08,20.63
1983,1,12,0.69,20.19
1983,1,13,0.94,19.85
1983,1,14,0.3,20.31
1983,1,15,0.32,20.87
1983,1,16,0.07,21.35
1983,1,17,0.13,20.37
1983,1,18,0.04,21.05
1983,1,19,0.07,21.41
1983,1,20,0.38,21.51
1983,1,21,1.07,20.43
1983,1,22,2.47,20.56
1983,1,23,1.1,20.81
1983,1,24,1.87,19.76
1983,1,25,3.23,19.47
1983,1,26,0.75,20.16
1983,1,27,0.12,21.8
1983,1,28,0.09,21.66
1983,1,29,0.19,21.15
1983,1,30,0.05,21.8
1983,1,31,0.45,21.39
1983,2,1,0.75,21.42
1983,2,2,0.43,22.05
1983,2,3,0.53,21.78
1983,2,4,0.88,21.67
1983,2,5,1.33,20.43
1983,2,6,3.11,20.91
1983,2,7,1.45,21.33
1983,2,8,3.9,21.17
1983,2,9,0.15,21.59
1983,2,10,0.02,22.93
1983,2,11,0.89,23.03
1983,2,12,2.88,21.5
1983,2,13,2.05,19.9
1983,2,14,1.96,21.77
1983,2,15,0.93,22.08
1983,2,16,2.26,21.12
1983,2,17,2.11,21.81
1983,2,18,5.54,20.16
1983,2,19,1.46,21.04
1983,2,20,0.03,21.79
1983,2,21,0.0,20.12
1983,2,22,0.0,21.22
1983,2,23,0.0,22.92
1983,2,24,0.0,23.1
1983,2,25,0.17,23.52
1983,2,26,0.05,23.4
1983,2,27,0.03,24.04
1983,2,28,0.42,23.3
1983,3,1,1.28,21.05
1983,3,2,1.48,21.26
1983,3,3,0.95,22.43
1983,3,4,1.73,23.24
1983,3,5,0.86,23.45
1983,3,6,1.31,23.54
1983,3,7,0.15,23.14
1983,3,8,0.03,23.51
1983,3,9,0.32,21.72
1983,3,10,0.17,22.95
1983,3,11,0.28,22.54
1983,3,12,1.63,22.59
1983,3,13,1.83,22.0
1983,3,14,4.25,22.2
1983,3,15,2.7,22.08
1983,3,16,4.12,22.97
1983,3,17,1.22,22.03
1983,3,18,2.31,20.71
