YEAR,MO,DY,PRECTOTCORR,TS
1983,1,1,1.29,17.94
1983,1,2,1.34,17.93
1983,1,3,2.45,17.9
1983,1,4,4.22,17.44
1983,1,5,2.55,17.63
1983,1,6,1.46,18.15
1983,1,7,0.55,16.71
1983,1,8,0.5,16.41
1983,1,9,0.45,17.58
1983,1,10,0.15,17.6
1983,1,11,0.02,17.99
1983,1,12,0.6,17.6
1983,1,13,0.77,17.27
1983,1,14,0.2,17.59
1983,1,15,0.24,18.05
1983,1,16,0.06,18.52
1983,1,17,0.03,18.24
1983,1,18,0.0,18.55
1983,1,19,0.05,18.79
1983,1,20,0.32,18.75
1983,1,21,1.77,17.28
1983,1,22,3.83,18.07
1983,1,23,1.6,17.91
1983,1,24,3.17,17.41
1983,1,25,4.19,17.31
1983,1,26,0.21,17.54
1983,1,27,0.04,18.6
1983,1,28,0.05,18.98
1983,1,29,0.11,18.07
1983,1,30,0.02,18.58
1983,1,31,0.39,18.19
1983,2,1,0.83,18.45
1983,2,2,0.84,19.1
1983,2,3,0.9,19.02
1983,2,4,1.32,19.03
1983,2,5,2.14,17.95
1983,2,6,3.69,18.11
1983,2,7,1.19,18.34
1983,2,8,5.3,18.0
1983,2,9,0.45,18.13
1983,2,10,0.12,19.6
1983,2,11,1.4,19.33
1983,2,12,2.52,18.98
1983,2,13,2.8,17.67
1983,2,14,3.36,18.82
1983,2,15,0.1,19.46
1983,2,16,0.33,18.81
1983,2,17,2.82,18.4
1983,2,18,4.97,17.79
1983,2,19,1.17,18.06
1983,2,20,0.05,18.45
1983,2,21,0.0,17.31
1983,2,22,0.0,18.78
1983,2,23,0.0,19.44
1983,2,24,0.0,19.35
1983,2,25,0.11,19.55
1983,2,26,0.01,19.73
1983,2,27,0.08,19.99
1983,2,28,0.61,19.48
1983,3,1,1.18,18.06
1983,3,2,1.41,18.25
1983,3,3,0.89,19.19
1983,3,4,0.48,19.55
1983,3,5,0.6,19.34
1983,3,6,1.58,19.87
1983,3,7,0.08,19.01
1983,3,8,0.02,19.49
1983,3,9,0.21,17.61
1983,3,10,0.03,19.56
1983,3,11,0.09,19.2
1983,3,12,0.92,19.55
1983,3,13,1.0,19.3
1983,3,14,2.32,18.85
1983,3,15,4.96,19.34
1983,3,16,6.23,19.23
1983,3,17,0.8,18.75
1983,3,18,2.11,17.75
1983,3,19,1.18,18.89
1983,3,20,2.48,17.37
1983,3,21,3.26,18.24
1983,3,22,2.84,18.11
1983,3,23,0.61,19.1
1983,3,24,1.03,19.08
1983,3,25,5.94,18.31
1983,3,26,1.3,19.46
1983,3,27,9.48,16.97
1983,3,28,9.82,18.31
1983,3,29,17.9,18.52
1983,3,30,15.94,19.43
1983,3,31,3.1,18.14
1983,4,1,2.44,17.5
1983,4,2,3.56,17.54
1983,4,3,0.93,17.25
1983,4,4,1.06,17.97
1983,4,5,2.05,17.78
1983,4,6,5.87,18.09
1983,4,7,8.32,17.2
1983,4,8,6.73,17.34
1983,4,9,9.48,16.76
1983,4,10,4.77,17.28
1983,4,11,1.92,17.36
1983,4,12,1.33,17.75
1983,4,13,2.97,17.61
1983,4,14,2.68,17.87
1983,4,15,7.37,16.64
1983,4,16,6.9,15.84
1983,4,17,6.89,16.69
1983,4,18,3.76,16.85
1983,4,19,4.53,17.97
1983,4,20,7.07,17.46
1983,4,21,4.34,16.63
1983,4,22,1.13,16.98
1983,4,23,2.49,18.25
1983,4,24,6.74,16.96
1983,4,25,7.04,18.03
1983,4,26,9.13,16.83
1983,4,27,11.55,17.11
1983,4,28,6.87,18.31
1983,4,29,11.7,18.8
1983,4,30,9.43,16.41
1983,5,1,6.03,16.82
1983,5,2,5.02,16.36
1983,5,3,5.02,17.15
1983,5,4,3.62,15.69
1983,5,5,6.46,16.78
1983,5,6,5.24,16.88
1983,5,7,13.96,15.68
1983,5,8,6.88,16.84
1983,5,9,2.86,15.74
1983,5,10,11.03,16.72
1983,5,11,12.91,16.59
1983,5,12,6.31,16.78
1983,5,13,0.33,16.45
1983,5,14,0.45,16.4
1983,5,15,0.0,15.69
1983,5,16,0.0,16.06
1983,5,17,1.25,15.73
1983,5,18,1.71,16.14
1983,5,19,0.54,16.66
1983,5,20,0.14,17.55
1983,5,21,2.22,17.33
1983,5,22,5.66,16.24
1983,5,23,9.68,15.91
1983,5,24,2.38,16.96
1983,5,25,15.31,17.21
1983,5,26,3.81,15.61
1983,5,27,0.04,16.67
1983,5,28,0.02,16.58
1983,5,29,0.49,16.93
1983,5,30,4.18,16.95
1983,5,31,0.0,16.21
1983,6,1,0.0,16.95
1983,6,2,0.0,16.73
1983,6,3,0.0,16.42
1983,6,4,0.0,16.92
1983,6,5,6.83,15.79
1983,6,6,5.22,15.55
1983,6,7,0.88,16.19
1983,6,8,0.0,16.21
1983,6,9,0.0,15.85
1983,6,10,0.01,16.85
1983,6,11,0.39,16.68
1983,6,12,0.4,16.72
1983,6,13,0.45,16.46
1983,6,14,0.53,16.92
1983,6,15,0.23,16.44
1983,6,16,0.13,16.45
1983,6,17,0.1,16.39
1983,6,18,0.24,16.78
1983,6,19,0.42,17.02
1983,6,20,1.42,16.78
1983,6,21,2.9,15.89
1983,6,22,1.6,15.73
1983,6,23,0.86,16.62
1983,6,24,4.68,16.76
1983,6,25,2.45,16.15
1983,6,26,0.55,16.64
1983,6,27,0.02,16.57
1983,6,28,0.02,16.13
1983,6,29,0.04,15.63
1983,6,30,7.27,16.26
1983,7,1,7.96,15.72
1983,7,2,4.1,15.55
1983,7,3,1.17,15.62
1983,7,4,1.78,15.85
1983,7,5,0.1,15.58
1983,7,6,0.05,15.0
1983,7,7,0.05,14.88
1983,7,8,0.07,15.72
1983,7,9,0.0,16.18
1983,7,10,0.57,16.23
1983,7,11,1.19,16.57
1983,7,12,0.11,16.34
1983,7,13,0.73,16.79
1983,7,14,0.15,17.27
1983,7,15,0.76,16.9
1983,7,16,3.19,16.65
1983,7,17,0.17,16.66
1983,7,18,0.24,16.57
1983,7,19,0.14,16.44
1983,7,20,0.05,15.81
1983,7,21,0.02,16.2
1983,7,22,0.29,17.13
1983,7,23,0.01,16.6
1983,7,24,0.0,16.4
1983,7,25,0.14,16.69
1983,7,26,1.65,16.85
1983,7,27,1.62,17.11
1983,7,28,27.39,15.98
1983,7,29,25.71,16.17
1983,7,30,0.1,16.29
1983,7,31,0.11,16.42
1983,8,1,0.72,15.64
1983,8,2,0.0,17.24
1983,8,3,0.0,17.12
1983,8,4,0.41,17.22
1983,8,5,0.31,17.06
1983,8,6,0.0,16.97
1983,8,7,0.07,18.22
1983,8,8,0.12,18.48
1983,8,9,0.11,18.09
1983,8,10,1.14,17.96
1983,8,11,1.93,17.36
1983,8,12,1.61,16.85
1983,8,13,0.44,16.87
1983,8,14,0.01,16.01
1983,8,15,0.01,16.89
1983,8,16,0.16,17.44
1983,8,17,0.13,18.42
1983,8,18,0.19,18.57
1983,8,19,2.76,17.74
1983,8,20,3.21,18.34
1983,8,21,7.69,17.68
1983,8,22,1.59,17.42
1983,8,23,0.19,17.83
1983,8,24,3.43,16.61
1983,8,25,0.26,17.21
1983,8,26,1.16,17.34
1983,8,27,3.3,17.65
1983,8,28,2.57,17.94
1983,8,29,0.04,18.01
1983,8,30,0.0,17.48
1983,8,31,0.0,16.73
1983,9,1,0.01,16.34
1983,9,2,0.88,17.5
1983,9,3,2.88,17.72
1983,9,4,0.97,17.24
1983,9,5,0.76,17.49
1983,9,6,0.01,17.96
1983,9,7,0.01,17.77
1983,9,8,0.0,18.03
1983,9,9,0.2,17.45
1983,9,10,4.14,16.55
1983,9,11,5.73,17.18
1983,9,12,3.55,17.41
1983,9,13,0.48,18.05
1983,9,14,0.3,18.44
1983,9,15,0.48,18.65
1983,9,16,0.01,18.68
