YEAR,MO,DY,PRECTOTCORR,TS
1983,1,1,2.56,21.03
1983,1,2,0.87,20.66
1983,1,3,0.83,20.07
1983,1,4,4.96,20.05
1983,1,5,1.6,20.28
1983,1,6,0.69,21.18
1983,1,7,0.5,19.71
1983,1,8,0.56,19.82
1983,1,9,0.32,20.79
1983,1,10,0.1,21.21
1983,1,11,0.29,21.2
1983,1,12,0.77,20.75
1983,1,13,1.39,20.91
1983,1,14,0.56,20.86
1983,1,15,0.65,21.55
1983,1,16,0.23,22.09
1983,1,17,0.98,20.68
1983,1,18,0.36,21.43
1983,1,19,0.14,21.72
1983,1,20,1.54,21.89
1983,1,21,0.63,20.87
1983,1,22,1.83,20.5
1983,1,23,1.02,21.26
1983,1,24,1.41,19.99
1983,1,25,4.19,19.83
1983,1,26,2.14,20.2
1983,1,27,0.52,21.9
1983,1,28,1.04,21.45
1983,1,29,0.73,21.54
1983,1,30,0.42,21.58
1983,1,31,0.39,22.14
1983,2,1,1.16,21.99
1983,2,2,0.25,22.24
1983,2,3,0.57,22.0
1983,2,4,0.85,21.74
1983,2,5,0.77,20.76
1983,2,6,1.95,20.7
1983,2,7,1.26,21.27
1983,2,8,1.35,21.58
1983,2,9,0.12,21.98
1983,2,10,0.0,23.01
1983,2,11,2.18,23.61
1983,2,12,5.98,22.16
1983,2,13,3.32,20.12
1983,2,14,1.14,21.83
1983,2,15,2.01,21.85
1983,2,16,3.65,20.82
1983,2,17,1.37,21.97
1983,2,18,4.55,20.6
1983,2,19,1.3,21.4
1983,2,20,0.01,22.4
1983,2,21,0.0,20.28
1983,2,22,0.0,21.54
1983,2,23,0.0,22.81
1983,2,24,0.0,22.6
1983,2,25,0.2,22.95
1983,2,26,0.14,22.83
1983,2,27,0.11,23.57
1983,2,28,0.16,23.21
1983,3,1,1.31,22.6
1983,3,2,1.4,21.72
1983,3,3,1.26,22.15
1983,3,4,1.59,23.11
1983,3,5,1.09,24.12
1983,3,6,0.91,23.66
1983,3,7,0.74,23.8
1983,3,8,0.08,24.06
1983,3,9,0.99,21.22
1983,3,10,0.86,22.12
1983,3,11,1.12,22.66
1983,3,12,2.26,23.09
1983,3,13,2.87,21.65
1983,3,14,7.1,21.8
1983,3,15,3.62,21.8
1983,3,16,2.03,22.77
1983,3,17,3.06,22.13
1983,3,18,3.23,20.92
1983,3,19,5.16,21.43
1983,3,20,4.1,21.88
1983,3,21,3.24,21.95
1983,3,22,1.22,22.72
1983,3,23,2.38,22.31
1983,3,24,2.66,21.01
1983,3,25,5.39,20.08
1983,3,26,4.13,21.43
1983,3,27,12.38,19.45
1983,3,28,7.79,19.77
1983,3,29,8.92,19.95
1983,3,30,9.63,20.96
1983,3,31,2.13,21.01
1983,4,1,0.91,20.78
1983,4,2,3.19,20.64
1983,4,3,0.73,20.99
1983,4,4,2.06,21.35
1983,4,5,4.75,19.46
1983,4,6,9.19,21.05
1983,4,7,4.2,21.11
1983,4,8,4.12,21.29
1983,4,9,4.94,20.77
1983,4,10,3.36,21.23
1983,4,11,0.72,21.68
1983,4,12,1.0,21.39
1983,4,13,3.98,21.97
1983,4,14,5.41,21.77
1983,4,15,6.95,21.18
1983,4,16,6.21,20.52
1983,4,17,9.1,20.08
1983,4,18,11.31,19.82
1983,4,19,6.56,20.74
1983,4,20,6.78,21.39
1983,4,21,2.45,20.85
1983,4,22,4.16,20.64
1983,4,23,3.04,20.44
