YEAR,MO,DY,PRECTOTCORR,TS
1983,1,1,2.76,18.73
1983,1,2,4.01,19.28
1983,1,3,4.13,18.18
1983,1,4,4.23,18.61
1983,1,5,4.47,18.15
1983,1,6,2.53,18.98
1983,1,7,0.55,17.85
1983,1,8,0.33,18.99
1983,1,9,0.3,19.61
1983,1,10,0.15,20.32
1983,1,11,0.46,20.0
1983,1,12,0.89,19.54
1983,1,13,1.11,19.07
1983,1,14,0.77,19.66
1983,1,15,0.98,20.2
1983,1,16,0.5,20.74
1983,1,17,0.34,19.7
1983,1,18,0.16,20.37
1983,1,19,0.06,20.75
1983,1,20,0.41,21.24
1983,1,21,2.2,20.9
1983,1,22,4.57,19.86
1983,1,23,1.41,20.39
1983,1,24,2.27,20.24
1983,1,25,5.17,19.78
1983,1,26,5.21,19.75
1983,1,27,1.63,20.97
1983,1,28,0.86,20.21
1983,1,29,1.45,20.46
1983,1,30,0.44,20.31
1983,1,31,0.21,19.77
1983,2,1,0.62,20.16
1983,2,2,0.34,21.03
1983,2,3,0.33,20.72
1983,2,4,0.63,20.72
1983,2,5,3.79,18.66
1983,2,6,5.85,19.14
1983,2,7,1.15,19.76
1983,2,8,3.13,20.03
1983,2,9,0.41,20.35
1983,2,10,0.49,21.23
1983,2,11,3.94,19.76
1983,2,12,8.85,18.25
1983,2,13,4.48,18.11
1983,2,14,4.51,20.22
1983,2,15,3.88,19.57
1983,2,16,11.2,19.74
1983,2,17,7.52,19.31
1983,2,18,14.25,19.58
1983,2,19,4.51,19.59
1983,2,20,0.04,20.2
1983,2,21,0.0,19.93
1983,2,22,0.0,20.39
1983,2,23,0.0,21.26
1983,2,24,0.0,21.51
1983,2,25,0.15,21.73
1983,2,26,0.08,21.53
1983,2,27,0.25,21.57
1983,2,28,1.09,21.65
1983,3,1,1.27,19.31
1983,3,2,1.23,19.36
1983,3,3,1.14,19.94
1983,3,4,1.42,21.11
1983,3,5,1.03,21.36
1983,3,6,1.19,21.3
1983,3,7,0.25,21.36
1983,3,8,0.17,21.29
1983,3,9,1.13,20.08
1983,3,10,0.77,20.88
1983,3,11,0.78,20.24
1983,3,12,2.62,19.8
1983,3,13,1.91,20.05
1983,3,14,4.68,20.28
1983,3,15,4.41,20.18
1983,3,16,8.68,20.94
1983,3,17,5.28,20.15
1983,3,18,2.78,19.43
1983,3,19,3.21,20.34
1983,3,20,2.39,19.92
1983,3,21,2.81,20.02
1983,3,22,2.55,20.74
1983,3,23,1.94,20.15
1983,3,24,2.92,20.68
1983,3,25,4.02,19.24
1983,3,26,1.76,20.26
1983,3,27,11.22,19.02
1983,3,28,9.61,19.26
1983,3,29,15.86,19.2
1983,3,30,20.17,20.53
1983,3,31,10.71,20.05
1983,4,1,3.03,19.73
1983,4,2,1.97,19.16
1983,4,3,0.41,19.39
1983,4,4,0.98,20.07
1983,4,5,2.18,19.21
1983,4,6,10.23,19.69
1983,4,7,7.11,18.99
1983,4,8,6.76,19.16
1983,4,9,9.66,18.65
1983,4,10,3.55,18.93
1983,4,11,2.09,19.21
1983,4,12,2.19,19.58
1983,4,13,5.54,19.22
1983,4,14,8.24,19.88
1983,4,15,11.15,19.05
1983,4,16,4.34,19.12
1983,4,17,4.71,19.51
1983,4,18,6.83,19.28
1983,4,19,4.03,18.95
1983,4,20,5.42,19.23
1983,4,21,3.65,18.62
1983,4,22,3.35,18.56
1983,4,23,1.06,19.39
1983,4,24,7.73,17.45
1983,4,25,6.29,18.7
1983,4,26,9.03,17.68
1983,4,27,9.12,18.6
1983,4,28,17.64,18.27
1983,4,29,13.45,18.53
1983,4,30,7.95,18.43
1983,5,1,8.29,18.84
1983,5,2,8.3,18.84
1983,5,3,6.22,18.52
1983,5,4,5.16,17.9
1983,5,5,4.15,18.36
1983,5,6,2.47,17.49
1983,5,7,10.98,17.94
1983,5,8,3.44,18.59
1983,5,9,0.99,18.24
1983,5,10,4.17,18.41
1983,5,11,15.54,18.37
