YEAR,MO,DY,PRECTOTCORR,TS
1983,1,1,2.21,21.12
1983,1,2,0.83,21.01
1983,1,3,1.35,21.21
1983,1,4,3.99,20.64
1983,1,5,0.85,20.48
1983,1,6,0.67,21.41
1983,1,7,0.47,19.74
1983,1,8,0.63,20.29
1983,1,9,0.31,21.48
1983,1,10,0.06,21.28
1983,1,11,0.08,21.76
1983,1,12,0.63,21.43
1983,1,13,0.8,21.17
1983,1,14,0.46,22.05
1983,1,15,0.63,21.95
1983,1,16,0.06,22.69
1983,1,17,0.09,21.84
1983,1,18,0.01,22.35
1983,1,19,0.09,22.71
1983,1,20,0.32,22.14
1983,1,21,1.23,20.51
1983,1,22,2.4,22.07
1983,1,23,2.25,22.01
1983,1,24,4.01,21.44
1983,1,25,4.06,20.3
1983,1,26,0.04,20.87
1983,1,27,0.01,21.91
1983,1,28,0.01,22.74
1983,1,29,0.03,21.78
1983,1,30,0.01,22.75
1983,1,31,0.75,22.95
1983,2,1,1.04,22.9
1983,2,2,1.03,23.31
1983,2,3,1.02,23.32
1983,2,4,1.65,22.94
1983,2,5,0.73,21.91
1983,2,6,1.78,22.03
1983,2,7,1.28,22.84
1983,2,8,2.96,22.57
1983,2,9,0.37,23.18
1983,2,10,0.01,24.75
1983,2,11,0.21,25.71
1983,2,12,0.47,23.93
1983,2,13,0.58,21.57
1983,2,14,0.62,23.65
1983,2,15,0.24,24.47
1983,2,16,0.68,22.35
1983,2,17,1.05,23.34
1983,2,18,2.61,21.25
1983,2,19,0.32,22.9
1983,2,20,0.01,23.15
1983,2,21,0.0,20.87
1983,2,22,0.0,23.54
1983,2,23,0.0,24.8
1983,2,24,0.0,24.81
1983,2,25,0.34,25.36
1983,2,26,0.12,25.06
1983,2,27,0.03,25.74
1983,2,28,0.26,25.1
1983,3,1,1.88,24.28
1983,3,2,1.24,22.9
1983,3,3,0.67,25.14
1983,3,4,1.13,25.44
1983,3,5,0.71,25.53
1983,3,6,0.96,25.92
1983,3,7,0.07,25.21
1983,3,8,0.04,25.38
1983,3,9,0.11,21.81
1983,3,10,0.02,25.21
1983,3,11,0.13,24.89
1983,3,12,0.83,25.47
1983,3,13,1.68,24.47
1983,3,14,1.63,23.83
1983,3,15,2.08,24.26
1983,3,16,2.24,24.48
1983,3,17,0.42,24.28
1983,3,18,2.43,23.26
1983,3,19,1.92,24.26
1983,3,20,3.16,22.82
1983,3,21,3.42,24.04
1983,3,22,2.04,22.79
1983,3,23,0.49,24.24
1983,3,24,0.96,24.56
1983,3,25,5.4,21.84
1983,3,26,1.86,23.92
1983,3,27,10.93,20.38
1983,3,28,7.68,21.64
1983,3,29,12.31,22.66
1983,3,30,8.87,22.68
1983,3,31,0.74,22.0
1983,4,1,1.78,21.54
1983,4,2,3.56,22.02
1983,4,3,1.58,21.52
1983,4,4,1.87,22.08
1983,4,5,2.14,21.0
1983,4,6,4.61,22.08
1983,4,7,5.27,21.77
1983,4,8,3.9,21.78
1983,4,9,5.58,21.34
1983,4,10,3.19,21.62
1983,4,11,1.88,21.93
1983,4,12,1.43,22.64
1983,4,13,2.45,22.38
1983,4,14,2.47,22.51
1983,4,15,5.81,20.03
1983,4,16,7.94,19.01
1983,4,17,7.28,20.02
1983,4,18,4.53,20.11
1983,4,19,5.11,21.77
1983,4,20,7.65,21.32
1983,4,21,3.92,19.56
1983,4,22,1.1,19.95
1983,4,23,3.56,21.49
1983,4,24,4.99,19.91
1983,4,25,3.14,21.18
1983,4,26,7.03,20.42
1983,4,27,7.96,21.56
1983,4,28,5.8,21.54
1983,4,29,12.13,21.03
1983,4,30,10.07,19.12
1983,5,1,3.93,19.69
1983,5,2,2.72,18.93
1983,5,3,3.32,20.5
1983,5,4,1.79,19.18
1983,5,5,4.88,19.95
1983,5,6,3.61,20.04
1983,5,7,17.17,19.02
1983,5,8,6.4,20.09
1983,5,9,3.47,19.09
1983,5,10,10.3,20.17
1983,5,11,11.11,19.84
1983,5,12,5.13,20.13
1983,5,13,0.25,19.92
1983,5,14,0.48,20.24
1983,5,15,0.0,19.07
1983,5,16,0.0,20.04
1983,5,17,1.06,19.62
1983,5,18,1.14,20.54
1983,5,19,0.38,20.91
1983,5,20,0.09,22.03
1983,5,21,1.29,21.73
1983,5,22,4.38,20.18
1983,5,23,8.83,19.57
